,Instrument,Exchange Name,Return On Assets - Actual,Company Name,Country of Headquarters,Date,Revenue from Business Activities - Total,Exchange Rate,Financial Period Absolute,Period End Date,Currency,Reported Currency,Organization Ultimate Parent,Country of Headquarters,NAICS Sector Name,NAICS Sector Code,NAICS Subsector Name,NAICS Subsector Code,SIC Industry Name,SIC Industry Group Name,Ultimate Parent Id,Price Close,Earnings Per Share - Mean,Net Income after Tax,Company Market Capitalization,P/E (Daily Time Series Ratio)
0,SMBC.CI,BOURSE REGIONALE DES VALEURS MOBILIERES,,Societe Multinationale de Bitumes SA,Ivory Coast,1996-12-31T00:00:00Z,,,FY1996,12/31/96,USD,,Societe Ivoirienne de Raffinage SA,Ivory Coast,Manufacturing,31-33,Petroleum and Coal Products Manufacturing,324,,,5000007451,,,,,
1,SMBC.CI,,,,,1997-12-31T00:00:00Z,,,FY1997,12/31/97,USD,,,,,,,,,,,1.8634166,,,,
2,SMBC.CI,,,,,1998-12-31T00:00:00Z,,,FY1998,12/31/98,USD,,,,,,,,,,,1.962639012,,,,
3,SMBC.CI,,,,,1999-12-31T00:00:00Z,,,FY1999,12/31/99,USD,,,,,,,,,,,1.79693142,,,,
4,SMBC.CI,,,,,2000-12-31T00:00:00Z,,,FY2000,12/31/00,USD,,,,,,,,,,,1.86393447,,,,
5,SMBC.CI,,,,,2001-12-31T00:00:00Z,,,FY2001,12/31/01,USD,,,,,,,,,,,1.412259163,,,,
6,SMBC.CI,,,,,2002-12-31T00:00:00Z,43597998.06,0.001590103,FY2002,12/31/02,USD,XOF,,,,,,,,,,1.122479637,,-2860268.091,,
7,SMBC.CI,,,,,2003-12-31T00:00:00Z,55363700.53,0.001923151,FY2003,12/31/03,USD,XOF,,,,,,,,,,2.68397728,,145890.2265,,132.5574441
8,SMBC.CI,,,,,2004-12-31T00:00:00Z,118318419.9,0.002065006,FY2004,12/31/04,USD,XOF,,,,,,,,,,4.285604873,,8683004.997,,4.408727881
9,SMBC.CI,,,,,2005-12-31T00:00:00Z,135284088.2,0.001805902,FY2005,12/31/05,USD,XOF,,,,,,,,,,6.032343307,,7810176.256,,5.410696051
10,SMBC.CI,,,,,2006-12-31T00:00:00Z,220741654.9,0.002013774,FY2006,12/31/06,USD,XOF,,,,,,,,,,8.364747608,,,65155466.4,6.759145597
11,SMBC.CI,,,,,2007-12-31T00:00:00Z,275832637.9,0.002228909,FY2007,12/31/07,USD,XOF,,,,,,,,,,7.368703108,,1137443.441,57440514.47,52.50884593
12,SMBC.CI,,,,,2008-12-31T00:00:00Z,409239507,0.002143623,FY2008,12/31/08,USD,XOF,,,,,,,,,,10.90208671,,2252499.464,84775825.43,36.89732362
13,SMBC.CI,,,,,2009-12-31T00:00:00Z,,,FY2009,12/31/09,USD,,,,,,,,,,,9.015326054,,,71600261.27,
14,SMBC.CI,,,,,2010-12-31T00:00:00Z,336258981.1,0.00204115,FY2010,12/31/10,USD,XOF,,,,,,,,,,9.382530715,,5700930.764,73060773.48,13.257143
15,SMBC.CI,,,,,2011-12-31T00:00:00Z,249437648,0.001973165,FY2011,12/31/11,USD,XOF,,,,,,,,,,8.05655703,,6523283.346,62802473.36,9.431579011
16,SMBC.CI,,,,,2012-12-31T00:00:00Z,389725875.6,0.002014139,FY2012,12/31/12,USD,XOF,,,,,,,,,,10.47143725,,-1657636.609,81901456.59,
17,SMBC.CI,,,,,2013-12-31T00:00:00Z,226573764.6,0.002101856,FY2013,12/31/13,USD,XOF,,,,,,,,,,6.497909893,,-12829728.65,50652507.2,
18,SMBC.CI,,,,,2014-12-31T00:00:00Z,262162563.9,0.001857873,FY2014,12/31/14,USD,XOF,,,,,,,,,,7.872058336,,-24477473.29,61364269.14,
19,SMBC.CI,,,,,2015-12-31T00:00:00Z,221044083.5,0.001657275,FY2015,12/31/15,USD,XOF,,,,,,,,,,7.438333813,,9171362.28,57983299.74,6.548813007
20,SMBC.CI,,,,,2016-12-31T00:00:00Z,147574943.2,0.001599642,FY2016,12/31/16,USD,XOF,,,,,,,,,,3.374189663,,10973541.93,26469387.9,2.16470203
21,SMBC.CI,,,,,2017-12-31T00:00:00Z,160889094.9,0.001782468,FY2017,12/31/17,USD,XOF,,,,,,,,,,8.564351217,,13379202.17,66760830.61,5.062829717
22,SMBC.CI,,,,,2018-12-31T00:00:00Z,235757703.5,0.00175679,FY2018,12/31/18,USD,XOF,,,,,,,,,,4.297378599,,13838234.78,33498925.66,2.474038332
23,SMBC.CI,,,,,2019-12-31T00:00:00Z,199833261.7,0.001718951,FY2019,12/31/19,USD,XOF,,,,,,,,,,5.805843544,,97980.23206,45257711.59,413.9517881
24,SMBC.CI,,,,,2020-12-31T00:00:00Z,193534401.5,0.001885014,FY2020,12/31/20,USD,XOF,,,,,,,,,,11.9687771,,17711592.84,93299011.27,5.724444458
25,SMBC.CI,,,,,2021-12-31T00:00:00Z,241722463.1,0.001734605,FY2021,12/31/21,USD,XOF,,,,,,,,,,11.05691057,,14957502.17,86190829.27,6.147206281
26,SACL.ZI,ZIMBABWE STOCK EXCHANGE,,starafricacorporation Ltd,Zimbabwe,1997-09-30T00:00:00Z,,,FY1997,9/30/97,USD,,starafricacorporation Ltd,Zimbabwe,Manufacturing,31-33,Food Manufacturing,311,,,5000003454,0,,,,
27,SACL.ZI,,,,,1998-09-30T00:00:00Z,,,FY1998,9/30/98,USD,,,,,,,,,,,0,,,,
28,SACL.ZI,,,,,1999-03-31T00:00:00Z,,,FY1999,3/31/99,USD,,,,,,,,,,,0,,,,
29,SACL.ZI,,,,,2000-03-31T00:00:00Z,,,FY2000,3/31/00,USD,,,,,,,,,,,0,,,,
30,SACL.ZI,,,,,2001-03-31T00:00:00Z,,1,FY2001,3/31/01,USD,ZWL,,,,,,,,,,0,,,,
31,SACL.ZI,,,,,2002-03-31T00:00:00Z,,1,FY2002,3/31/02,USD,ZWL,,,,,,,,,,0,,,,
32,SACL.ZI,,,,,2003-03-31T00:00:00Z,,1,FY2003,3/31/03,USD,ZWL,,,,,,,,,,0,,,,
33,SACL.ZI,,,,,2004-03-31T00:00:00Z,,1,FY2004,3/31/04,USD,ZWL,,,,,,,,,,0,,,,
34,SACL.ZI,,,,,2005-03-31T00:00:00Z,,1,FY2005,3/31/05,USD,ZWL,,,,,,,,,,0,,,,
35,SACL.ZI,,,,,2006-03-31T00:00:00Z,,1,FY2006,3/31/06,USD,ZWL,,,,,,,,,,0,,,,
36,SACL.ZI,,,,,2007-03-31T00:00:00Z,,1,FY2007,3/31/07,USD,ZWL,,,,,,,,,,0,,,,
37,SACL.ZI,,,,,2008-03-31T00:00:00Z,,,FY2008,3/31/08,USD,,,,,,,,,,,1.25E+12,,,,
38,SACL.ZI,,,,,2009-03-31T00:00:00Z,,,FY2009,3/31/09,USD,,,,,,,,,,,0.000310034,,,,
39,SACL.ZI,,,,,2010-03-31T00:00:00Z,,,FY2010,3/31/10,USD,,,,,,,,,,,0.000185087,,,,
40,SACL.ZI,,,,,2011-03-31T00:00:00Z,56983148.21,0.002644803,FY2011,3/31/11,USD,ZWL,,,,,,,,,,2.64E-05,,-8283550.766,,
41,SACL.ZI,,,,,2011-03-31T00:00:00Z,56983148.21,0.002644803,FY2011,3/31/11,USD,ZWL,,,,,,,,,,3.97E-05,,-8283550.766,,
