		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-1.69e-08						-6.23e-08						-6.23e-08						-2.09e-07						-2.47e-07					
			(3.08e-07)						(2.98e-07)						(2.98e-07)						(2.79e-07)						(2.81e-07)					
earningspersharemean	(mean) earningspersharemean			-1.04e-05						-1.04e-05						-1.04e-05						-1.04e-05						0				
				(1.09e-05)						(1.09e-05)						(1.09e-05)						(1.09e-05)						(0)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000751						-0.000623						-0.000623						-0.000623						0			
					(0.000893)						(0.000765)						(0.000765)						(0.000765)						(0)			
lnRev	(mean) lnRev					-0.00391*						-0.00389*						-0.00391*						-0.00391*						-0.00366*		
						(0.00218)						(0.00216)						(0.00216)						(0.00216)						(0.00213)		
priceclose	(mean) priceclose						-0						-0						-0						-0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00504***	0.00249***	0.00290***	0.0150	0.0775*	0.00478***	0.00487***	0.00229***	0.00290***	0.0126	0.0767*	0.00446***	0.00469***	0.00229***	0.00290***	0.0126	0.0770*	0.00430***	0.00453***	0.00208***	0.00290***	0.0126	0.0770*	0.00415***	0.00436***	0.00167***	0.00217***	0.00176***	0.0714*	0.00323***	0.00369***
		(0.000237)	(1.26e-05)	(6.90e-06)	(0.0150)	(0.0411)	(1.90e-05)	(0.000236)	(1.22e-05)	(6.90e-06)	(0.0129)	(0.0407)	(3.58e-06)	(0.000233)	(1.22e-05)	(6.90e-06)	(0.0129)	(0.0407)	(3.58e-06)	(0.000231)	(1.15e-05)	(6.90e-06)	(0.0129)	(0.0407)	(3.58e-06)	(0.000230)	(1.15e-05)	(0)	(0)	(0.0402)	(5.34e-11)	(0.000227)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.491	0.671	0.917	0.793	0.606	0.518	0.501	0.716	0.917	0.849	0.586	0.506	0.513	0.716	0.917	0.849	0.556	0.489	0.496	0.775	0.917	0.849	0.556	0.505	0.512	0.917	1.000	1.000	0.598	0.526	0.537
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
