		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		1.75e-08						1.75e-08						1.75e-08						1.75e-08						1.75e-08					
			(3.07e-08)						(3.07e-08)						(3.07e-08)						(3.07e-08)						(3.07e-08)					
earningspersharemean	(mean) earningspersharemean			2.37e-07						2.37e-07						2.37e-07						2.37e-07						2.37e-07				
				(3.38e-07)						(3.38e-07)						(3.38e-07)						(3.38e-07)						(3.38e-07)				
lnnetincomeaftertax	lnnetincomeaftertax				0.000147						0.000147						0.000147						0.000147						0.000147			
					(0.000119)						(0.000119)						(0.000119)						(0.000119)						(0.000119)			
lnRev	(mean) lnRev					6.28e-05						6.28e-05						6.28e-05						6.28e-05						6.28e-05		
						(0.000122)						(0.000122)						(0.000122)						(0.000122)						(0.000122)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00164***	0.00228***	0.00290***	-0.000331	0.000604	0.00169***	0.00164***	0.00228***	0.00290***	-0.000331	0.000604	0.00169***	0.00164***	0.00228***	0.00290***	-0.000331	0.000604	0.00169***	0.00164***	0.00228***	0.00290***	-0.000331	0.000604	0.00169***	0.00164***	0.00228***	0.00290***	-0.000331	0.000604	0.00169***	0.00164***
		(4.10e-06)	(1.26e-06)	(2.14e-07)	(0.00200)	(0.00231)	(0)	(4.10e-06)	(1.26e-06)	(2.14e-07)	(0.00200)	(0.00231)	(0)	(4.10e-06)	(1.26e-06)	(2.14e-07)	(0.00200)	(0.00231)	(0)	(4.10e-06)	(1.26e-06)	(2.14e-07)	(0.00200)	(0.00231)	(0)	(4.10e-06)	(1.26e-06)	(2.14e-07)	(0.00200)	(0.00231)	(0)	(4.10e-06)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.910	0.835	0.892	0.835	0.833	0.832	0.910	0.835	0.892	0.835	0.833	0.832	0.910	0.835	0.892	0.835	0.833	0.832	0.910	0.835	0.892	0.835	0.833	0.832	0.910	0.835	0.892	0.835	0.833	0.832	0.910
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
