		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		0						0						0						0						0					
			(0)						(0)						(0)						(0)						(0)					
earningspersharemean	(mean) earningspersharemean			0						0						0						0						0				
				(0)						(0)						(0)						(0)						(0)				
lnnetincomeaftertax	lnnetincomeaftertax				4.44e-05						4.44e-05						4.44e-05						4.44e-05						4.44e-05			
					(4.05e-05)						(4.05e-05)						(4.05e-05)						(4.05e-05)						(4.05e-05)			
lnRev	(mean) lnRev					5.97e-05						5.97e-05						5.97e-05						5.97e-05						5.97e-05		
						(4.83e-05)						(4.83e-05)						(4.83e-05)						(4.83e-05)						(4.83e-05)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00114***	0.00104***	0.00217***	0.000621	1.17e-05	0.000768	0.00114***	0.00104***	0.00217***	0.000621	1.17e-05	0.000768	0.00114***	0.00104***	0.00217***	0.000621	1.17e-05	0.000768	0.00114***	0.00104***	0.00217***	0.000621	1.17e-05	0.000768	0.00114***	0.00104***	0.00217***	0.000621	1.17e-05	0.000768	0.00114***
		(7.16e-06)	(0)	(0)	(0.000681)	(0.000911)	(0)	(7.16e-06)	(0)	(0)	(0.000681)	(0.000911)	(0)	(7.16e-06)	(0)	(0)	(0.000681)	(0.000911)	(0)	(7.16e-06)	(0)	(0)	(0.000681)	(0.000911)	(0)	(7.16e-06)	(0)	(0)	(0.000681)	(0.000911)	(0)	(7.16e-06)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.917	1.000	1.000	0.917	0.917	1.000	0.917	1.000	1.000	0.917	0.917	1.000	0.917	1.000	1.000	0.917	0.917	1.000	0.917	1.000	1.000	0.917	0.917	1.000	0.917	1.000	1.000	0.917	0.917	1.000	0.917
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
