		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-1.13e-06						-1.09e-06						-1.09e-06						-1.08e-06						-1.08e-06					
			(1.35e-06)						(1.34e-06)						(1.34e-06)						(1.28e-06)						(1.28e-06)					
earningspersharemean	(mean) earningspersharemean			0.000104						0.000104						0.000104						0.000104						0.000104				
				(8.43e-05)						(8.43e-05)						(8.43e-05)						(8.43e-05)						(8.43e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00253						0.00212						0.00212						0.00170						0.00170			
					(0.00162)						(0.00130)						(0.00130)						(0.00110)						(0.00110)			
lnRev	(mean) lnRev					-0.000157						-0.000413						-0.000413						-0.000209						-0.000111		
						(0.000756)						(0.000585)						(0.000585)						(0.000655)						(0.000623)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00972***	0.0100***	0.00753***	-0.0325	0.0121	0.00860***	0.00907***	0.00980***	0.00717***	-0.0259	0.0164	0.00814***	0.00862***	0.00980***	0.00717***	-0.0259	0.0164	0.00814***	0.00862***	0.00668***	0.00717***	-0.0218	0.0101	0.00584***	0.00616***	0.00668***	0.00717***	-0.0218	0.00811	0.00568***	0.00599***
		(0.000185)	(5.55e-05)	(5.35e-05)	(0.0273)	(0.0143)	(1.63e-10)	(0.000185)	(5.49e-05)	(5.35e-05)	(0.0218)	(0.0110)	(8.77e-11)	(0.000160)	(5.49e-05)	(5.35e-05)	(0.0218)	(0.0110)	(8.77e-11)	(0.000160)	(5.27e-05)	(5.35e-05)	(0.0184)	(0.0124)	(9.53e-11)	(0.000166)	(5.27e-05)	(5.35e-05)	(0.0184)	(0.0118)	(9.54e-11)	(0.000166)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.597	0.680	0.471	0.650	0.599	0.590	0.597	0.688	0.478	0.642	0.599	0.590	0.598	0.688	0.478	0.642	0.599	0.590	0.598	0.549	0.478	0.511	0.464	0.454	0.464	0.549	0.478	0.511	0.458	0.448	0.458
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
