		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-1.54e-07						-1.56e-07						-1.56e-07						-1.72e-07						-1.72e-07					
			(2.69e-07)						(2.69e-07)						(2.69e-07)						(2.65e-07)						(2.65e-07)					
earningspersharemean	(mean) earningspersharemean			-0.00194***						-0.00194***						-0.00194***						-0.00194***						-1.90e-05				
				(0.000110)						(0.000110)						(0.000110)						(0.000110)						(2.23e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.000335						0.000261						0.000261						-0.000305						-0.000312			
					(0.00100)						(0.00100)						(0.00100)						(0.000747)						(0.000743)			
lnRev	(mean) lnRev					-0.00158						-0.00150						-0.00149						-0.00149						-0.000425		
						(0.00121)						(0.00119)						(0.00119)						(0.00118)						(0.000412)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00788***	0.00748***	0.00377***	0.000996	0.0362	0.00661***	0.00734***	0.00727***	0.00377***	0.00205	0.0345	0.00630***	0.00703***	0.00727***	0.00377***	0.00205	0.0342	0.00614***	0.00686***	0.00500***	0.00377***	0.00943	0.0324	0.00446***	0.00507***	0.00499***	0.00218***	0.00954	0.0118	0.00399***	0.00443***
		(0.000330)	(1.11e-05)	(6.97e-05)	(0.0168)	(0.0229)	(7.28e-09)	(0.000297)	(1.10e-05)	(6.97e-05)	(0.0169)	(0.0224)	(7.28e-09)	(0.000300)	(1.10e-05)	(6.97e-05)	(0.0169)	(0.0224)	(7.28e-09)	(0.000300)	(1.09e-05)	(6.97e-05)	(0.0126)	(0.0223)	(7.29e-09)	(0.000301)	(1.09e-05)	(1.41e-05)	(0.0125)	(0.00777)	(2.48e-10)	(0.000225)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,811	2,763	5,111	6,139	6,502	6,112	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.547	0.653	0.473	0.642	0.580	0.574	0.573	0.646	0.473	0.634	0.579	0.573	0.572	0.646	0.473	0.634	0.592	0.585	0.584	0.667	0.473	0.669	0.605	0.594	0.593	0.667	0.531	0.669	0.668	0.649	0.647
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
