		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		2.04e-08						2.04e-08						2.04e-08						2.04e-08						2.04e-08					
			(2.11e-08)						(2.11e-08)						(2.11e-08)						(2.11e-08)						(2.11e-08)					
earningspersharemean	(mean) earningspersharemean			8.92e-05						8.92e-05						8.92e-05						8.92e-05						8.92e-05				
				(9.19e-05)						(9.19e-05)						(9.19e-05)						(9.19e-05)						(9.19e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000435						-0.000435						-0.000435						-0.000435						-0.000435			
					(0.000442)						(0.000442)						(0.000442)						(0.000442)						(0.000442)			
lnRev	(mean) lnRev					0.000368						0.000368						0.000368						0.000368						0.000368		
						(0.000376)						(0.000376)						(0.000376)						(0.000376)						(0.000376)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00195***	0.00104***	0.00356***	0.00810	-0.00678	0.00184***	0.00195***	0.00104***	0.00356***	0.00810	-0.00678	0.00184***	0.00195***	0.00104***	0.00356***	0.00810	-0.00678	0.00184***	0.00195***	0.00104***	0.00356***	0.00810	-0.00678	0.00184***	0.00195***	0.00104***	0.00356***	0.00810	-0.00678	0.00184***	0.00195***
		(9.52e-05)	(8.65e-07)	(5.84e-05)	(0.00744)	(0.00709)	(1.55e-10)	(9.52e-05)	(8.65e-07)	(5.84e-05)	(0.00744)	(0.00709)	(1.55e-10)	(9.52e-05)	(8.65e-07)	(5.84e-05)	(0.00744)	(0.00709)	(1.55e-10)	(9.52e-05)	(8.65e-07)	(5.84e-05)	(0.00744)	(0.00709)	(1.55e-10)	(9.52e-05)	(8.65e-07)	(5.84e-05)	(0.00744)	(0.00709)	(1.55e-10)	(9.52e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.637	0.834	0.717	0.801	0.062	0.636	0.637	0.834	0.717	0.801	0.062	0.636	0.637	0.834	0.717	0.801	0.062	0.636	0.637	0.834	0.717	0.801	0.062	0.636	0.637	0.834	0.717	0.801	0.062	0.636	0.637
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
