		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						0						0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		3.42e-09						3.42e-09						3.42e-09						3.42e-09						3.42e-09					
			(1.18e-08)						(1.18e-08)						(1.18e-08)						(1.18e-08)						(1.18e-08)					
earningspersharemean	(mean) earningspersharemean			1.66e-07						1.66e-07						1.81e-07						1.81e-07						1.81e-07				
				(3.08e-07)						(3.08e-07)						(2.86e-07)						(2.86e-07)						(2.86e-07)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000312						-0.000312						-1.64e-05						-1.64e-05						-1.64e-05			
					(0.000306)						(0.000306)						(5.39e-05)						(5.39e-05)						(5.39e-05)			
lnRev	(mean) lnRev					-6.34e-05						-6.34e-05						0.000117						0.000117						0.000117		
						(0.000224)						(0.000224)						(0.000123)						(0.000123)						(0.000123)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00435***	0.00270***	0.00109***	0.00856*	0.00429	0.00276***	0.00292***	0.00270***	0.00109***	0.00856*	0.00429	0.00276***	0.00292***	0.00270***	0.000724***	0.00340***	0.000721	0.00276***	0.00292***	0.00270***	0.000724***	0.00340***	0.000721	0.00276***	0.00292***	0.00270***	0.000724***	0.00340***	0.000721	0.00276***	0.00292***
		(0.000142)	(4.83e-07)	(1.96e-07)	(0.00516)	(0.00422)	(0)	(2.35e-05)	(4.83e-07)	(1.96e-07)	(0.00516)	(0.00422)	(0)	(2.35e-05)	(4.83e-07)	(1.82e-07)	(0.000907)	(0.00232)	(0)	(2.35e-05)	(4.83e-07)	(1.82e-07)	(0.000907)	(0.00232)	(0)	(2.35e-05)	(4.83e-07)	(1.82e-07)	(0.000907)	(0.00232)	(0)	(2.35e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.705	0.829	0.257	0.815	0.835	0.876	0.876	0.829	0.257	0.815	0.835	0.876	0.876	0.829	0.311	0.861	0.876	0.876	0.876	0.829	0.311	0.861	0.876	0.876	0.876	0.829	0.311	0.861	0.876	0.876	0.876
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
