		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-5.68e-08						-5.68e-08						-5.68e-08						1.01e-07						6.25e-08					
			(6.04e-08)						(6.04e-08)						(6.04e-08)						(1.43e-07)						(9.97e-08)					
earningspersharemean	(mean) earningspersharemean			3.57e-05						3.57e-05						3.57e-05						5.41e-05						6.37e-05				
				(8.02e-05)						(8.02e-05)						(8.02e-05)						(0.000108)						(0.000132)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00181						0.00181						0.00181						0.00180						0.00192			
					(0.00183)						(0.00183)						(0.00183)						(0.00182)						(0.00194)			
lnRev	(mean) lnRev					0.000422						0.000422						0.000422						0.000432						0.000605		
						(0.000448)						(0.000448)						(0.000448)						(0.000458)						(0.000632)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00334***	0.00374***	0.00468***	-0.0272	-0.00521	0.00276***	0.00316***	0.00374***	0.00468***	-0.0272	-0.00521	0.00276***	0.00316***	0.00374***	0.00468***	-0.0272	-0.00521	0.00276***	0.00316***	0.00332***	0.00395***	-0.0274	-0.00571	0.00246***	0.00281***	0.00311***	0.00358***	-0.0296	-0.00915	0.00230***	0.00269***
		(0.000258)	(2.48e-06)	(5.09e-05)	(0.0308)	(0.00846)	(2.35e-10)	(0.000237)	(2.48e-06)	(5.09e-05)	(0.0308)	(0.00846)	(2.35e-10)	(0.000237)	(2.48e-06)	(5.09e-05)	(0.0308)	(0.00846)	(2.35e-10)	(0.000237)	(5.85e-06)	(6.86e-05)	(0.0306)	(0.00864)	(3.44e-10)	(0.000212)	(4.09e-06)	(8.35e-05)	(0.0326)	(0.0119)	(3.92e-10)	(0.000253)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.793	0.858	0.769	0.742	0.741	0.752	0.752	0.858	0.769	0.742	0.741	0.752	0.752	0.858	0.769	0.742	0.741	0.752	0.752	0.763	0.652	0.656	0.655	0.669	0.669	0.716	0.594	0.613	0.611	0.627	0.628
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
