		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		2.76e-08						2.76e-08						2.76e-08						2.76e-08						2.76e-08					
			(3.32e-08)						(3.32e-08)						(3.32e-08)						(3.32e-08)						(3.32e-08)					
earningspersharemean	(mean) earningspersharemean			-5.65e-05						-5.65e-05						-5.65e-05						-5.65e-05						-5.65e-05				
				(5.96e-05)						(5.96e-05)						(5.96e-05)						(5.96e-05)						(5.96e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				-9.03e-05						-9.03e-05						-9.03e-05						-9.03e-05						-9.03e-05			
					(9.94e-05)						(9.94e-05)						(9.94e-05)						(9.94e-05)						(9.94e-05)			
lnRev	(mean) lnRev					-0.000210						-0.000210						-0.000210						-0.000210						-0.000210		
						(0.000219)						(0.000219)						(0.000219)						(0.000219)						(0.000219)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.000646***	0.000414***	0.000398***	0.00191	0.00428	0.000307***	0.000397***	0.000414***	0.000398***	0.00191	0.00428	0.000307***	0.000397***	0.000414***	0.000398***	0.00191	0.00428	0.000307***	0.000397***	0.000414***	0.000398***	0.00191	0.00428	0.000307***	0.000397***	0.000414***	0.000398***	0.00191	0.00428	0.000307***	0.000397***
		(2.88e-05)	(1.36e-06)	(3.79e-05)	(0.00167)	(0.00413)	(9.62e-11)	(8.61e-05)	(1.36e-06)	(3.79e-05)	(0.00167)	(0.00413)	(9.62e-11)	(8.61e-05)	(1.36e-06)	(3.79e-05)	(0.00167)	(0.00413)	(9.62e-11)	(8.61e-05)	(1.36e-06)	(3.79e-05)	(0.00167)	(0.00413)	(9.62e-11)	(8.61e-05)	(1.36e-06)	(3.79e-05)	(0.00167)	(0.00413)	(9.62e-11)	(8.61e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.167	0.098	0.211	0.087	0.086	0.086	0.086	0.098	0.211	0.087	0.086	0.086	0.086	0.098	0.211	0.087	0.086	0.086	0.086	0.098	0.211	0.087	0.086	0.086	0.086	0.098	0.211	0.087	0.086	0.086	0.086
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
