		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		1.84e-07						1.43e-07						1.43e-07						1.43e-07						1.43e-07					
			(1.90e-07)						(1.49e-07)						(1.49e-07)						(1.49e-07)						(1.49e-07)					
earningspersharemean	(mean) earningspersharemean			-1.35e-05						-1.35e-05						-1.35e-05						-1.35e-05						-1.35e-05				
				(4.81e-05)						(4.81e-05)						(4.81e-05)						(4.81e-05)						(4.81e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00110						0.000851						0.000851						0.000851						0.000851			
					(0.00105)						(0.000801)						(0.000801)						(0.000801)						(0.000801)			
lnRev	(mean) lnRev					0.000465						0.000230						0.000230						0.000230						0.000230		
						(0.000715)						(0.000486)						(0.000486)						(0.000486)						(0.000486)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00322***	0.00331***	0.00399***	-0.0153	-0.00586	0.00276***	0.00286***	0.00311***	0.00399***	-0.0114	-0.00158	0.00261***	0.00271***	0.00311***	0.00399***	-0.0114	-0.00158	0.00261***	0.00271***	0.00311***	0.00399***	-0.0114	-0.00158	0.00261***	0.00271***	0.00311***	0.00399***	-0.0114	-0.00158	0.00261***	0.00271***
		(0.000106)	(7.79e-06)	(3.05e-05)	(0.0177)	(0.0135)	(1.86e-10)	(9.75e-05)	(6.11e-06)	(3.05e-05)	(0.0135)	(0.00917)	(1.48e-10)	(9.55e-05)	(6.11e-06)	(3.05e-05)	(0.0135)	(0.00917)	(1.48e-10)	(9.55e-05)	(6.11e-06)	(3.05e-05)	(0.0135)	(0.00917)	(1.48e-10)	(9.55e-05)	(6.11e-06)	(3.05e-05)	(0.0135)	(0.00917)	(1.48e-10)	(9.55e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.597	0.711	0.807	0.699	0.674	0.674	0.655	0.701	0.807	0.691	0.666	0.666	0.645	0.701	0.807	0.691	0.666	0.666	0.645	0.701	0.807	0.691	0.666	0.666	0.645	0.701	0.807	0.691	0.666	0.666	0.645
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
