		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0*						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		1.31e-07						2.13e-07						1.35e-07						1.35e-07						1.35e-07					
			(3.53e-07)						(2.92e-07)						(2.55e-07)						(2.55e-07)						(2.55e-07)					
earningspersharemean	(mean) earningspersharemean			-0.000783***						-0.000792***						4.75e-05						4.75e-05						4.75e-05				
				(8.31e-05)						(8.29e-05)						(7.44e-05)						(7.44e-05)						(7.44e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.00216						-0.00153						-0.000797						-0.000797						-0.000797			
					(0.00261)						(0.00221)						(0.00185)						(0.00185)						(0.00185)			
lnRev	(mean) lnRev					-0.00622						-0.00423						-0.000881						-0.000881						-0.000881		
						(0.00628)						(0.00455)						(0.00163)						(0.00163)						(0.00163)		
priceclose	(mean) priceclose						-0						-0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0163***	0.0106***	0.0124***	0.0474	0.127	0.00937***	0.0104***	0.0102***	0.0121***	0.0364	0.0895	0.00906***	0.0100***	0.00954***	0.0108***	0.0234	0.0254	0.00814***	0.00892***	0.00954***	0.0108***	0.0234	0.0254	0.00814***	0.00892***	0.00954***	0.0108***	0.0234	0.0254	0.00814***	0.00892***
		(0.000441)	(1.45e-05)	(5.27e-05)	(0.0439)	(0.118)	(2.09e-09)	(0.000329)	(1.20e-05)	(5.26e-05)	(0.0372)	(0.0859)	(2.08e-09)	(0.000297)	(1.04e-05)	(4.72e-05)	(0.0312)	(0.0308)	(1.23e-10)	(0.000259)	(1.04e-05)	(4.72e-05)	(0.0312)	(0.0308)	(1.23e-10)	(0.000259)	(1.04e-05)	(4.72e-05)	(0.0312)	(0.0308)	(1.23e-10)	(0.000259)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.422	0.631	0.640	0.600	0.570	0.539	0.554	0.651	0.658	0.611	0.581	0.551	0.566	0.687	0.699	0.644	0.623	0.599	0.616	0.687	0.699	0.644	0.623	0.599	0.616	0.687	0.699	0.644	0.623	0.599	0.616
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
