		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						-0***						-0**						-0**						-0**						-0**
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		1.57e-06						-1.21e-06						-1.62e-06						-1.68e-06						-1.69e-06					
			(2.96e-06)						(1.80e-06)						(1.57e-06)						(1.44e-06)						(1.41e-06)					
earningspersharemean	(mean) earningspersharemean			0.00503***						0.00458***						0.00453***						0.00111***						2.40e-05				
				(0.000522)						(0.000322)						(0.000271)						(0.000120)						(3.73e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00197						0.000468						0.000918						0.000235						-0.000455			
					(0.00355)						(0.00205)						(0.000914)						(0.000872)						(0.000807)			
lnRev	(mean) lnRev					0.00568*						0.00319**						0.00245*						0.00123						0.000837		
						(0.00304)						(0.00158)						(0.00137)						(0.000770)						(0.000595)		
priceclose	(mean) priceclose						0						0						0						-0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0646***	0.0392***	0.0471***	0.00358	-0.0726	0.0333***	0.0376***	0.0129***	0.0156***	0.00444	-0.0486	0.0114***	0.0128***	0.00733***	0.00907***	-0.00881	-0.0394	0.00676***	0.00748***	0.00567***	0.00798***	0.00112	-0.0182	0.00507***	0.00569***	0.00256***	0.00252***	0.00981	-0.0137	0.00215***	0.00246***
		(0.00204)	(0.000121)	(0.000331)	(0.0597)	(0.0573)	(7.21e-09)	(0.000737)	(7.41e-05)	(0.000204)	(0.0345)	(0.0298)	(6.44e-09)	(0.000302)	(6.44e-05)	(0.000172)	(0.0154)	(0.0259)	(6.29e-09)	(0.000136)	(5.90e-05)	(7.63e-05)	(0.0147)	(0.0145)	(6.82e-10)	(0.000145)	(5.81e-05)	(2.37e-05)	(0.0136)	(0.0112)	(1.33e-10)	(8.56e-05)
																																
Observations		6,119	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.350	0.367	0.378	0.362	0.336	0.329	0.329	0.409	0.426	0.395	0.367	0.357	0.365	0.482	0.505	0.488	0.426	0.408	0.422	0.517	0.550	0.533	0.470	0.446	0.464	0.132	0.109	0.135	0.127	0.119	0.120
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
