		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-2.14e-06						1.30e-06**						6.12e-07						2.17e-07						3.29e-07					
			(2.14e-06)						(6.57e-07)						(4.07e-07)						(3.13e-07)						(2.58e-07)					
earningspersharemean	(mean) earningspersharemean			0.000612**						0.000208						9.02e-05						-1.47e-05						-9.90e-06				
				(0.000255)						(0.000166)						(7.30e-05)						(2.44e-05)						(2.40e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00143						-0.00185						-0.00219						-0.00120						-0.00157			
					(0.00350)						(0.00345)						(0.00289)						(0.00244)						(0.00242)			
lnRev	(mean) lnRev					-7.55e-05						-0.00193						-0.00190						-0.00171						-0.00172		
						(0.00270)						(0.00250)						(0.00220)						(0.00209)						(0.00207)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0215***	0.0179***	0.0231***	-0.00644	0.0174	0.0149***	0.0152***	0.0122***	0.0140***	0.0431	0.0474	0.0103***	0.0108***	0.00807***	0.00682***	0.0448	0.0433	0.00691***	0.00738***	0.00476***	0.00218***	0.0251	0.0372	0.00461***	0.00524***	0.00414***	0.00145***	0.0308	0.0366	0.00399***	0.00454***
		(0.00222)	(8.79e-05)	(0.000162)	(0.0589)	(0.0510)	(1.04e-09)	(0.00124)	(2.69e-05)	(0.000105)	(0.0580)	(0.0472)	(8.13e-10)	(0.000875)	(1.67e-05)	(4.64e-05)	(0.0486)	(0.0416)	(4.48e-10)	(0.000590)	(1.28e-05)	(1.55e-05)	(0.0410)	(0.0394)	(2.01e-10)	(0.000302)	(1.06e-05)	(1.52e-05)	(0.0408)	(0.0391)	(1.83e-10)	(0.000244)
																																
Observations		6,120	4,818	2,762	5,118	6,146	6,509	6,119	4,818	2,762	5,118	6,146	6,509	6,119	4,818	2,762	5,118	6,146	6,509	6,119	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.332	0.326	0.284	0.313	0.313	0.304	0.318	0.346	0.295	0.332	0.326	0.316	0.329	0.344	0.253	0.336	0.343	0.330	0.349	0.374	0.283	0.362	0.365	0.356	0.375	0.364	0.349	0.351	0.360	0.350	0.373
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
