		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		1.63e-08						1.63e-08																							
			(2.11e-08)						(2.11e-08)																							
o.earningspersharemean	(mean) earningspersharemean = o,			-						-						-						-						-				
																																
o._cons				0						0					0	0					0	0					0	0				
				(0)						(0)					(0)	(0)					(0)	(0)					(0)	(0)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000283						-0.000283						-0.000209						-0.000209						-0.000209			
					(0.000192)						(0.000192)						(0.000170)						(0.000170)						(0.000170)			
lnRev	(mean) lnRev					-0.000193						-0.000193						-0.000127						-0.000127						-0.000127		
						(0.000132)						(0.000132)						(0.000104)						(0.000104)						(0.000104)		
priceclose	(mean) priceclose						0						0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
o.pedailytimeseriesratio	(mean) pedailytimeseriesratio = o,														-						-						-					
																																
Constant	Constant	0.000484***	0.000207***		0.00515	0.00430*	0.000461***	0.000484***	0.000207***		0.00515	0.00430*	0.000461***	0.000484***			0.00371	0.00289	0.000307	0.000327***			0.00371	0.00289	0.000307	0.000327***			0.00371	0.00289	0.000307	0.000327***
		(7.20e-06)	(8.65e-07)		(0.00323)	(0.00249)	(0)	(7.20e-06)	(8.65e-07)		(0.00323)	(0.00249)	(0)	(7.20e-06)			(0.00285)	(0.00197)	(0)	(0)			(0.00285)	(0.00197)	(0)	(0)			(0.00285)	(0.00197)	(0)	(0)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.727	0.227		0.271	0.630	0.727	0.727	0.227		0.271	0.630	0.727	0.727			0.334	0.778	1.000	1.000			0.334	0.778	1.000	1.000			0.334	0.778	1.000	1.000
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
