		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		3.53e-08						3.53e-08						3.53e-08						3.53e-08						3.53e-08					
			(2.30e-07)						(2.30e-07)						(2.30e-07)						(2.30e-07)						(2.30e-07)					
earningspersharemean	(mean) earningspersharemean			-0.000199						-0.000199						-0.000199						-0.000199						-0.000199				
				(0.000260)						(0.000260)						(0.000260)						(0.000260)						(0.000260)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000672						-0.000672						-0.000672						-0.000672						-0.000672			
					(0.00114)						(0.00114)						(0.00114)						(0.00114)						(0.00114)			
lnRev	(mean) lnRev					-0.00113						-0.00113						-0.00113						-0.00113						-0.00113		
						(0.00129)						(0.00129)						(0.00129)						(0.00129)						(0.00129)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00720***	0.00539***	0.00917***	0.0166	0.0279	0.00599***	0.00720***	0.00539***	0.00917***	0.0166	0.0279	0.00599***	0.00720***	0.00539***	0.00917***	0.0166	0.0279	0.00599***	0.00720***	0.00539***	0.00917***	0.0166	0.0279	0.00599***	0.00720***	0.00539***	0.00917***	0.0166	0.0279	0.00599***	0.00720***
		(0.000405)	(9.45e-06)	(0.000165)	(0.0191)	(0.0244)	(2.71e-10)	(0.000405)	(9.45e-06)	(0.000165)	(0.0191)	(0.0244)	(2.71e-10)	(0.000405)	(9.45e-06)	(0.000165)	(0.0191)	(0.0244)	(2.71e-10)	(0.000405)	(9.45e-06)	(0.000165)	(0.0191)	(0.0244)	(2.71e-10)	(0.000405)	(9.45e-06)	(0.000165)	(0.0191)	(0.0244)	(2.71e-10)	(0.000405)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.601	0.543	0.761	0.558	0.609	0.579	0.601	0.543	0.761	0.558	0.609	0.579	0.601	0.543	0.761	0.558	0.609	0.579	0.601	0.543	0.761	0.558	0.609	0.579	0.601	0.543	0.761	0.558	0.609	0.579	0.601
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
