		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-6.86e-08						-1.01e-07						-1.01e-07						-8.54e-08						-8.54e-08					
			(1.04e-07)						(9.36e-08)						(9.36e-08)						(9.00e-08)						(9.00e-08)					
earningspersharemean	(mean) earningspersharemean			0						0						0						0						0				
				(0)						(0)						(0)						(0)						(0)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000148						-9.43e-05						-9.43e-05						-0.000230						-0.000230			
					(0.000262)						(0.000279)						(0.000279)						(0.000243)						(0.000243)			
lnRev	(mean) lnRev					0.00145						0.00162						0.00162						0.00147						0.00147		
						(0.00149)						(0.00149)						(0.00149)						(0.00148)						(0.00148)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00252***	0.00312***	0.00145***	0.00542	-0.0250	0.00230***	0.00252***	0.00208***	0.00145***	0.00354	-0.0289	0.00154***	0.00170***	0.00208***	0.00145***	0.00354	-0.0289	0.00154***	0.00170***	0.00187***	0.00145***	0.00564	-0.0262	0.00138***	0.00154***	0.00187***	0.00145***	0.00564	-0.0262	0.00138***	0.00154***
		(9.95e-05)	(4.27e-06)	(0)	(0.00440)	(0.0280)	(2.04e-10)	(9.95e-05)	(3.84e-06)	(0)	(0.00469)	(0.0282)	(2.03e-10)	(9.58e-05)	(3.84e-06)	(0)	(0.00469)	(0.0282)	(2.03e-10)	(9.58e-05)	(3.69e-06)	(0)	(0.00409)	(0.0280)	(2.03e-10)	(9.75e-05)	(3.69e-06)	(0)	(0.00409)	(0.0280)	(2.03e-10)	(9.75e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.620	0.643	1.000	0.631	0.599	0.594	0.620	0.571	1.000	0.592	0.545	0.538	0.539	0.571	1.000	0.592	0.545	0.538	0.539	0.621	1.000	0.645	0.594	0.586	0.586	0.621	1.000	0.645	0.594	0.586	0.586
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
