		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						0						0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-8.62e-07						2.47e-06						2.52e-06*						2.06e-06						1.78e-06					
			(2.42e-06)						(1.51e-06)						(1.48e-06)						(1.51e-06)						(1.46e-06)					
earningspersharemean	(mean) earningspersharemean			-3.60e-05						-0.000134						-0.000217						-0.000408						-0.000478				
				(0.000732)						(0.000649)						(0.000602)						(0.000606)						(0.000582)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.00407						-0.00443						-0.00364						-0.00467						-0.00426			
					(0.00381)						(0.00364)						(0.00359)						(0.00329)						(0.00315)			
lnRev	(mean) lnRev					0.00238						0.00310						0.00592						0.00362						0.00105		
						(0.00462)						(0.00435)						(0.00420)						(0.00389)						(0.00320)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0631***	0.0571***	0.0692***	0.128**	0.0125	0.0552***	0.0550***	0.0524***	0.0627***	0.129**	-0.00567	0.0506***	0.0503***	0.0460***	0.0537***	0.109*	-0.0662	0.0437***	0.0439***	0.0414***	0.0498***	0.122**	-0.0266	0.0397***	0.0399***	0.0354***	0.0412***	0.108**	0.0157	0.0345***	0.0339***
		(0.00145)	(9.94e-05)	(0.000465)	(0.0640)	(0.0872)	(8.38e-05)	(0.00137)	(6.18e-05)	(0.000412)	(0.0613)	(0.0821)	(8.38e-05)	(0.00125)	(6.08e-05)	(0.000382)	(0.0604)	(0.0793)	(8.38e-05)	(0.00121)	(6.18e-05)	(0.000385)	(0.0553)	(0.0734)	(8.38e-05)	(0.00115)	(6.01e-05)	(0.000369)	(0.0530)	(0.0603)	(8.38e-05)	(0.00118)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.502	0.547	0.518	0.524	0.512	0.509	0.512	0.567	0.542	0.545	0.530	0.525	0.533	0.550	0.499	0.523	0.514	0.513	0.523	0.547	0.483	0.524	0.514	0.508	0.520	0.523	0.412	0.495	0.493	0.484	0.496
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
