		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0***						0***						0						-0**						-0*						-0*
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-6.86e-06*						3.02e-07						-1.20e-06						-1.53e-06						1.32e-06*					
			(3.83e-06)						(3.03e-06)						(2.63e-06)						(2.40e-06)						(6.87e-07)					
earningspersharemean	(mean) earningspersharemean			-0.00448***						-0.00230*						-0.00248**						-0.00176*						-0.00175***				
				(0.000738)						(0.00124)						(0.00107)						(0.000996)						(0.000673)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00712						0.00482						0.00256						0.00131						-0.00148			
					(0.00450)						(0.00395)						(0.00338)						(0.00311)						(0.00238)			
lnRev	(mean) lnRev					0.000128						0.00251						-0.000572						-0.000337						-0.000965		
						(0.00534)						(0.00450)						(0.00316)						(0.00266)						(0.00244)		
priceclose	(mean) priceclose						-0						-0						-0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0942***	0.0862***	0.132***	-0.0420	0.0763	0.0756***	0.0723***	0.0685***	0.103***	-0.0200	0.0158	0.0607***	0.0617***	0.0461***	0.0638***	-0.00261	0.0536	0.0413***	0.0459***	0.0347***	0.0456***	0.00860	0.0391	0.0315***	0.0367***	0.0226***	0.0261***	0.0452	0.0403	0.0215***	0.0255***
		(0.00276)	(0.000157)	(0.000468)	(0.0758)	(0.101)	(6.54e-09)	(0.00216)	(0.000124)	(0.000785)	(0.0665)	(0.0849)	(3.16e-09)	(0.00219)	(0.000108)	(0.000681)	(0.0568)	(0.0596)	(4.68e-09)	(0.00128)	(9.85e-05)	(0.000633)	(0.0523)	(0.0503)	(4.33e-09)	(0.00224)	(2.82e-05)	(0.000427)	(0.0401)	(0.0460)	(4.65e-09)	(0.00160)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.488	0.500	0.540	0.474	0.461	0.456	0.469	0.487	0.506	0.459	0.449	0.446	0.452	0.462	0.420	0.433	0.433	0.434	0.439	0.422	0.366	0.401	0.410	0.407	0.414	0.443	0.350	0.406	0.432	0.431	0.441
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
