		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						-0						-0						0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-1.72e-05						-1.71e-05						-1.61e-05						-1.64e-05						-1.45e-05					
			(1.32e-05)						(1.36e-05)						(1.38e-05)						(1.41e-05)						(1.31e-05)					
earningspersharemean	(mean) earningspersharemean			0.000525						0.000422						7.70e-05						0.000108						0.000418				
				(0.000423)						(0.000380)						(0.000673)						(0.000711)						(0.000448)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000570						0.000779						-3.02e-05						0.00113						0.00814			
					(0.00461)						(0.00464)						(0.00473)						(0.00480)						(0.00578)			
lnRev	(mean) lnRev					-0.000282						0.00155						0.000249						0.00197						0.00498		
						(0.00590)						(0.00615)						(0.00685)						(0.00697)						(0.00721)		
priceclose	(mean) priceclose						-0						-0						0***						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.826***	0.778***	0.790***	0.786***	0.794***	0.776***	0.810***	0.766***	0.780***	0.752***	0.749***	0.765***	0.799***	0.755***	0.770***	0.753***	0.761***	0.753***	0.789***	0.741***	0.757***	0.721***	0.718***	0.742***	0.777***	0.725***	0.737***	0.588***	0.645***	0.727***	0.759***
		(0.00179)	(0.000540)	(0.000269)	(0.0776)	(0.111)	(7.44e-05)	(0.00218)	(0.000559)	(0.000241)	(0.0780)	(0.116)	(4.11e-05)	(0.00195)	(0.000567)	(0.000427)	(0.0796)	(0.129)	(1.42e-05)	(0.00254)	(0.000580)	(0.000451)	(0.0808)	(0.132)	(3.59e-06)	(0.00267)	(0.000538)	(0.000284)	(0.0972)	(0.136)	(1.55e-09)	(0.00262)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.720	0.771	0.763	0.763	0.753	0.752	0.722	0.773	0.780	0.765	0.754	0.750	0.724	0.767	0.775	0.759	0.749	0.743	0.719	0.753	0.773	0.750	0.740	0.732	0.706	0.739	0.750	0.733	0.723	0.719	0.692
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
