		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		3.65e-08						1.74e-08						-4.61e-08						-8.00e-08						-1.79e-07					
			(4.87e-07)						(4.55e-07)						(2.94e-07)						(2.87e-07)						(2.67e-07)					
earningspersharemean	(mean) earningspersharemean			6.06e-05						3.79e-05						-1.22e-05						-3.55e-05						2.05e-06				
				(0.000118)						(9.95e-05)						(7.94e-05)						(7.66e-05)						(3.07e-06)				
lnnetincomeaftertax	lnnetincomeaftertax				-0.000546						-0.000599						-0.000379						-0.000576						-0.000163			
					(0.000663)						(0.000656)						(0.000428)						(0.000442)						(0.000136)			
lnRev	(mean) lnRev					-0.00232						-0.00231						-0.00204						-0.00209						-0.00160		
						(0.00201)						(0.00202)						(0.00186)						(0.00186)						(0.00181)		
priceclose	(mean) priceclose						0						0						0						-0						-0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00586***	0.00539***	0.00503***	0.0135	0.0484	0.00504***	0.00523***	0.00498***	0.00432***	0.0140	0.0479	0.00474***	0.00493***	0.00374***	0.00182***	0.00932	0.0420	0.00366***	0.00383***	0.00312***	0.00147***	0.0120	0.0423	0.00338***	0.00366***	0.00250***	0.000361***	0.00451**	0.0325	0.00276***	0.00295***
		(9.44e-05)	(2.00e-05)	(7.50e-05)	(0.0112)	(0.0380)	(0.000167)	(9.34e-05)	(1.87e-05)	(6.32e-05)	(0.0110)	(0.0382)	(0.000167)	(6.47e-05)	(1.20e-05)	(5.04e-05)	(0.00720)	(0.0351)	(0.000167)	(6.50e-05)	(1.18e-05)	(4.86e-05)	(0.00744)	(0.0351)	(1.17e-10)	(6.21e-05)	(1.09e-05)	(1.95e-06)	(0.00229)	(0.0342)	(1.11e-10)	(1.92e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.491	0.580	0.394	0.574	0.584	0.553	0.543	0.596	0.404	0.598	0.603	0.567	0.557	0.668	0.156	0.704	0.692	0.639	0.627	0.630	0.179	0.668	0.666	0.610	0.653	0.751	0.340	0.850	0.808	0.692	0.742
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
