		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0						0						0						0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-2.16e-06						1.27e-06*						8.17e-07*						2.22e-07						3.42e-07					
			(2.14e-06)						(6.59e-07)						(4.94e-07)						(3.16e-07)						(2.61e-07)					
earningspersharemean	(mean) earningspersharemean			0.000751***						0.000321						0.000195						8.22e-05						8.20e-05				
				(0.000276)						(0.000197)						(0.000123)						(9.57e-05)						(9.59e-05)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00254						-0.000404						-0.00110						-0.000480						-0.00127			
					(0.00373)						(0.00367)						(0.00321)						(0.00265)						(0.00252)			
lnRev	(mean) lnRev					0.00125						-0.000345						-0.000934						-0.000947						-0.00102		
						(0.00282)						(0.00259)						(0.00233)						(0.00216)						(0.00212)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.0372***	0.0308***	0.0397***	-0.0124	0.00430	0.0277***	0.0290***	0.0246***	0.0298***	0.0310	0.0291	0.0227***	0.0242***	0.0174***	0.0212***	0.0354	0.0333	0.0164***	0.0174***	0.0133***	0.0155***	0.0210	0.0302	0.0135***	0.0147***	0.0112***	0.0126***	0.0323	0.0298	0.0118***	0.0128***
		(0.00241)	(8.76e-05)	(0.000175)	(0.0628)	(0.0531)	(1.20e-09)	(0.00131)	(2.70e-05)	(0.000125)	(0.0617)	(0.0489)	(9.73e-10)	(0.000956)	(2.03e-05)	(7.81e-05)	(0.0540)	(0.0441)	(6.15e-10)	(0.000663)	(1.30e-05)	(6.07e-05)	(0.0446)	(0.0407)	(3.37e-10)	(0.000322)	(1.07e-05)	(6.08e-05)	(0.0424)	(0.0401)	(3.16e-10)	(0.000268)
																																
Observations		6,120	4,818	2,762	5,118	6,146	6,509	6,119	4,818	2,762	5,118	6,146	6,509	6,119	4,815	2,763	5,113	6,140	6,505	6,113	4,819	2,763	5,119	6,147	6,510	6,120	4,818	2,763	5,118	6,146	6,509	6,119
R-squared		0.496	0.523	0.474	0.503	0.508	0.515	0.525	0.585	0.547	0.563	0.563	0.570	0.578	0.575	0.597	0.560	0.566	0.570	0.585	0.662	0.715	0.642	0.639	0.635	0.650	0.684	0.749	0.663	0.668	0.662	0.669
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
