		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	-0						-0						-0						-0						-0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-6.61e-08						-7.08e-08						-6.03e-09						-1.54e-08						-6.98e-09					
			(5.83e-08)						(5.87e-08)						(4.07e-08)						(2.03e-08)						(1.01e-08)					
earningspersharemean	(mean) earningspersharemean			1.47e-05						9.37e-06						8.55e-06						7.79e-06						2.71e-06				
				(1.62e-05)						(1.08e-05)						(1.01e-05)						(9.17e-06)						(4.43e-06)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00189*						0.00165						0.00189*						0.00116						0.000741			
					(0.00107)						(0.00104)						(0.00109)						(0.000921)						(0.000495)			
lnRev	(mean) lnRev					0.00115*						0.00101*						0.000691						0.000400						0.000330		
						(0.000621)						(0.000590)						(0.000487)						(0.000416)						(0.000274)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.00819***	0.00685***	0.00795***	-0.0247	-0.0150	0.00599***	0.00672***	0.00644***	0.00723***	-0.0212	-0.0127	0.00568***	0.00641***	0.00332***	0.00579***	-0.0286	-0.0101	0.00277***	0.00299***	0.00311***	0.00542***	-0.0166	-0.00478	0.00261***	0.00281***	0.00166***	0.00326***	-0.0109	-0.00461	0.00154***	0.00165***
		(7.49e-05)	(2.39e-06)	(1.03e-05)	(0.0180)	(0.0117)	(0)	(7.64e-05)	(2.41e-06)	(6.85e-06)	(0.0174)	(0.0111)	(0)	(8.05e-05)	(1.67e-06)	(6.42e-06)	(0.0183)	(0.00920)	(0)	(7.90e-05)	(8.35e-07)	(5.82e-06)	(0.0155)	(0.00785)	(0)	(6.54e-05)	(4.14e-07)	(2.81e-06)	(0.00833)	(0.00517)	(0)	(3.59e-05)
																																
Observations		6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,815	2,763	5,113	6,140	6,505	6,113	4,819	2,763	5,119	6,147	6,510	6,120	4,818	2,763	5,118	6,146	6,509	6,119
R-squared		0.737	0.746	0.710	0.697	0.704	0.723	0.729	0.781	0.752	0.726	0.728	0.751	0.755	0.589	0.701	0.555	0.572	0.571	0.629	0.597	0.668	0.566	0.587	0.587	0.629	0.581	0.638	0.545	0.627	0.647	0.640
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
