,Instrument,Investor Shares Held,Investor Perm Id,Investor Id,Date
0,SMBC.CI,,,,
1,SACL.ZI,,,,
2,SEMC.CI,,,,
3,ILV.MV,,,,
4,NITL.MV,,,,
5,TPCC.TZ,,,,
6,ZBFH.ZI,,,,
7,TTP.TZ,,,,
8,TCCL.TZ,,,,
9,FMB.MV,,,,
10,NBS.MV,,,,
11,SUNB.MV,,,,
12,MPICO.MV,,,,
13,DCB.TZ,,,,
14,NMB.TZ,,,,
15,COURTVI.LG,,,,
16,CRDB.TZ,,,,
17,NANG.LZ,,,,
18,PRIM.LZ,,,,
19,MCNICHO.LG,,,,
20,NIC.UG,,,,
21,BATZ.LZ,,,,
22,BOAC.CI,,,,
23,RACPp.J,,,,
24,LHCJ.J,,,,
25,TNM.MV,,,,
26,CRESTA.BT,,,,
27,UHOMREI.LG,,,,
28,DANGCEM.LG,,,,
29,MULTITREX.LG,,,,
30,RBPJ.J,,,,
31,NPFMCRF.LG,,,,
32,BOABF.CI,,,,
33,MMPJ.J,,,,
34,OUTJ.J,,,,
35,IPFJ.J,,,,
36,LBTY.NR,,,,
37,REBJ.J,,,,
38,COHJ.J,,,,
39,LETL.BT,,,,
40,GOLI.MZ,,,,
41,BLR.RW,,,,
42,MPTJ.J,,,,
43,TCL.NR,,,,
44,BUCJ.J,,,,
45,TEXJ.J,,,,
46,DIBJ.J,,,,
47,BOK.RW,,,,
48,BRIT.NR,,,,
49,NAP.BT,,,,
50,FTAJ.J,,,,
51,SILPp.NM,,,,
52,PAL.TZ,,,,
53,TERA.MZ,,,,
54,CHOPP.BT,,,,
55,AUSTINLAZ.LG,,,,
56,SIT.MZ,,,,
57,LKL.NR,,,,
58,TCPJ.J,,,,
59,CIC.NR,,,,
60,FNBMIDJ.J,,,,
61,CIM.MZ,,,,
62,DLTJ.J,,,,
63,NHL.NM,,,,
64,UMEME.UG,,,,
65,MDIJ.J,,,,
66,UCAP.LG,,,,
67,AFRIPRU.LG,,,,
68,AGR.NM,,,,
69,ETFSAPJ.J,,,,
70,SHUMBA.BT,,,,
71,NGPLTJ.J,,,,
72,MLIJ.J,,,,
73,CGP.NM,,,,
74,HAFR.NR,,,,
75,ATTJ.J,,,,
76,ASCJ.J,,,,
77,APFJ.J,,,,
78,CWG.LG,,,,
79,UCHUMI.UG,,,,
80,ETFPLDJ.J,,,,
81,NGPLDJ.J,,,,
82,SARJ.J,,,,
83,ETFPLTJ.J,,,,
84,ETFGLDJ.J,,,,
85,THAJ.J,,,,
86,LVLTRXJ.J^H18,,,,
87,DIVTRXJ.J,,,,
88,AVLJ.J,,,,
89,LOTO.MZ,,,,
90,CAVERTON.LG,,,,
91,VISJ.J,,,,
92,MBP.TZ,,,,
93,SARE.MZ,,,,
94,KSTJ.J,,,,
95,EQUJ.J,,,,
96,AFHJ.J,,,,
97,MAFS.LZ,,,,
98,NSE.NR,,,,
99,SWALA.TZ,,,,
100,BTCL.BT,,,,
101,RFGJ.J,,,,
102,TRANSCOHOT.LG,,,,
103,QFHJ.J,,,,
104,NOV.MZ,,,,
105,LIVINGTRUST.LG,,,,
106,TTLS.CI,,,,
107,FTGH.NR,,,,
108,KCCGLDJ.J,,,,
109,KUR.NR,,,,
110,MEDVIEWAIR.LG,,,,
111,DNBJ.J,,,,
112,HILJ.J,,,,
113,ACSJ.J,,,,
114,IMRP7p.J,,,,
115,BOAS.CI,,,,
116,NVSJ.J,,,,
117,MFDG.MZ,,,,
118,MKCB.TZ,,,,
119,MAC.GH,,,,
120,IMR.RW,,,,
121,MCB.TZ,,,,
122,INFINITY.LG,,,,
123,VALUEFUND.LG,,,,
124,UPDCREIT.LG,,,,
125,ADB.GH,,,,
126,BOAM.CI,,,,
127,CTOP50J.J,,,,
128,IKUL.LZ,,,,
129,EIZP.LZ,,,,
130,ILUJ.J,,,,
131,PROL.ZI,,,,
132,RENJ.J,,,,
133,PEMJ.J,,,,
134,YETU.TZ,,,,
135,STANBIC.LG,,,,
136,VETIVA.LG,,,,
137,APL.MZ,,,,
138,DCPJ.J,,,,
139,BWNJ.J,,,,
140,SYGJ.J,,,,
141,TRLJ.J,,,,
142,CTAJ.J,,,,
143,IIL.GH,,,,
144,NOTORE.LG,,,,
145,SSSJ.J,,,,
146,SAMBA.GH,,,,
147,HORDS.GH,,,,
148,MMH.GH,,,,
149,MHBJ.J,,,,
150,ATIL.MZ,,,,
151,LTEJ.J,,,,
152,FAHR.NR,,,,
153,ETFRHOJ.J,,,,
154,SNHJ.J,106614378,34413286392,3238019,2005-12-30T00:00:00Z
155,SNHJ.J,61169650,5000003949,2132705,2005-12-30T00:00:00Z
156,SNHJ.J,36777572,5037588919,2002702,2005-12-31T00:00:00Z
157,SNHJ.J,25486938,5000131279,2005221,2005-09-30T00:00:00Z
158,SNHJ.J,24864538,5000054512,2003672,2005-12-31T00:00:00Z
159,SNHJ.J,10218770,4297772128,2001973,2004-08-31T00:00:00Z
160,SNHJ.J,8866107,5000045174,2002653,2005-12-31T00:00:00Z
161,SNHJ.J,4113300,4297648458,2003410,2005-12-31T00:00:00Z
162,SNHJ.J,3970210,4296540815,2004263,2005-10-31T00:00:00Z
163,SNHJ.J,762340,5000043067,2484925,2005-09-10T00:00:00Z
164,SNHJ.J,231600,5000001154,2003828,2005-12-31T00:00:00Z
165,SNHJ.J,150000,4296618041,2003276,2005-12-31T00:00:00Z
166,SNHJ.J,15150,5044026629,2002611,2005-12-31T00:00:00Z
167,SNHJ.J,0,5000051932,2003066,2004-03-31T00:00:00Z
168,SNHJ.J,21945186,5000003949,2132705,2003-06-27T00:00:00Z
169,SNHJ.J,15304756,5000054512,2003672,2004-12-31T00:00:00Z
170,SNHJ.J,11751132,5037588919,2002702,2004-10-31T00:00:00Z
171,SNHJ.J,10218770,4297772128,2001973,2004-08-31T00:00:00Z
172,SNHJ.J,3684154,5000045174,2002653,2004-12-31T00:00:00Z
173,SNHJ.J,3113300,4297648458,2003410,2004-12-31T00:00:00Z
174,SNHJ.J,585000,4296540815,2004263,2004-10-31T00:00:00Z
