,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
0,SMBC.CI,,,,Ivory Coast
1,SACL.ZI,,,,Zimbabwe
2,SEMC.CI,,,,United States
3,ILV.MV,,,,United Kingdom
4,NITL.MV,,,,Malawi
5,TPCC.TZ,,,,Germany
6,ZBFH.ZI,,,,Zimbabwe
7,TTP.TZ,,,,Tanzania
8,TCCL.TZ,,,,
9,FMB.MV,,,,Malawi
10,NBS.MV,,,,Malawi
11,SUNB.MV,,,,Malawi
12,MPICO.MV,,,,Malawi
13,DCB.TZ,,,,Tanzania
14,NMB.TZ,,,,Tanzania
15,COURTVI.LG,,,,Nigeria
16,CRDB.TZ,,,,Tanzania
17,NANG.LZ,,,,United Kingdom
18,PRIM.LZ,,,,Zambia
19,MCNICHO.LG,,,,Nigeria
20,NIC.UG,,,,Uganda
21,BATZ.LZ,0.09,1998-12-31T00:00:00Z,5000706029,United Kingdom
22,BATZ.LZ,0.03,1998-12-31T00:00:00Z,5001449043,
23,BATZ.LZ,0.05,1997-06-30T00:00:00Z,5000706029,
24,BATZ.LZ,,,,
25,BOAC.CI,,,,Morocco
26,RACPp.J,,,,South Africa
27,LHCJ.J,,,,South Africa
28,TNM.MV,,,,Malawi
29,CRESTA.BT,,,,Botswana
30,UHOMREI.LG,,,,Nigeria
31,DANGCEM.LG,,,,Nigeria
32,MULTITREX.LG,,,,Nigeria
33,RBPJ.J,,,,South Africa
34,NPFMCRF.LG,,,,Nigeria
35,BOABF.CI,,,,Morocco
36,MMPJ.J,,,,South Africa
37,OUTJ.J,,,,South Africa
38,IPFJ.J,,,,South Africa
39,LBTY.NR,,,,South Africa
40,REBJ.J,,,,South Africa
41,COHJ.J,,,,South Africa
42,LETL.BT,,,,Botswana
43,GOLI.MZ,,,,Mauritius
44,BLR.RW,,,,Netherlands
45,MPTJ.J,,,,South Africa
46,TCL.NR,,,,Kenya
47,BUCJ.J,,,,South Africa
48,TEXJ.J,,,,South Africa
49,DIBJ.J,,,,South Africa
50,BOK.RW,,,,Rwanda
51,BRIT.NR,,,,Kenya
52,NAP.BT,,,,Botswana
53,FTAJ.J,,,,South Africa
54,SILPp.NM,,,,Namibia
55,PAL.TZ,,,,Tanzania
56,TERA.MZ,,,,Mauritius
57,CHOPP.BT,,,,Botswana
58,AUSTINLAZ.LG,,,,Nigeria
59,SIT.MZ,,,,Mauritius
60,LKL.NR,,,,Kenya
61,TCPJ.J,,,,South Africa
62,CIC.NR,,,,United Kingdom
63,FNBMIDJ.J,,,,
64,CIM.MZ,,,,
65,DLTJ.J,,,,South Africa
66,NHL.NM,,,,Namibia
67,UMEME.UG,,,,Uganda
68,MDIJ.J,,,,South Africa
69,UCAP.LG,,,,Nigeria
70,AFRIPRU.LG,,,,Nigeria
71,AGR.NM,,,,Namibia
72,ETFSAPJ.J,,,,
73,SHUMBA.BT,,,,Botswana
74,NGPLTJ.J,,,,
75,MLIJ.J,,,,United Kingdom
76,CGP.NM,,,,Namibia
77,HAFR.NR,,,,Kenya
78,ATTJ.J,,,,South Africa
79,ASCJ.J,,,,South Africa
80,APFJ.J,,,,South Africa
81,CWG.LG,,,,Nigeria
82,ETFPLDJ.J,,,,
83,NGPLDJ.J,,,,
84,SARJ.J,,,,South Africa
85,ETFPLTJ.J,,,,
86,ETFGLDJ.J,,,,
87,THAJ.J,,,,Cyprus
88,LVLTRXJ.J^H18,,,,
89,DIVTRXJ.J,,,,
90,AVLJ.J,,,,South Africa
91,LOTO.MZ,,,,Mauritius
92,CAVERTON.LG,,,,Nigeria
93,VISJ.J,,,,South Africa
94,MBP.TZ,,,,Tanzania
95,SARE.MZ,,,,South Africa
96,KSTJ.J,,,,South Africa
97,EQUJ.J,,,,South Africa
98,AFHJ.J,,,,United States
99,MAFS.LZ,,,,Zambia
100,NSE.NR,,,,Kenya
101,SWALA.TZ,,,,Tanzania
102,BTCL.BT,,,,Botswana
103,RFGJ.J,,,,South Africa
104,TRANSCOHOT.LG,,,,Nigeria
105,QFHJ.J,,,,South Africa
106,NOV.MZ,,,,Mauritius
107,LIVINGTRUST.LG,,,,Nigeria
108,TTLS.CI,,,,France
109,FTGH.NR,,,,Kenya
110,KCCGLDJ.J,,,,
111,KUR.NR,,,,Kenya
112,MEDVIEWAIR.LG,,,,Nigeria
113,DNBJ.J,,,,South Africa
114,HILJ.J,,,,Malta
115,ACSJ.J,,,,South Africa
116,IMRP7p.J,,,,South Africa
117,BOAS.CI,,,,Morocco
118,NVSJ.J,,,,South Africa
119,MFDG.MZ,,,,Mauritius
120,MKCB.TZ,,,,Tanzania
121,MAC.GH,,,,Ghana
122,IMR.RW,,,,Kenya
123,MCB.TZ,,,,Tanzania
124,INFINITY.LG,,,,Nigeria
125,VALUEFUND.LG,,,,Nigeria
126,UPDCREIT.LG,,,,Nigeria
127,ADB.GH,,,,Ghana
128,BOAM.CI,,,,Morocco
129,CTOP50J.J,,,,
130,IKUL.LZ,,,,Zambia
131,EIZP.LZ,,,,Zambia
132,ILUJ.J,,,,South Africa
133,PROL.ZI,,,,Zimbabwe
134,RENJ.J,,,,South Africa
135,PEMJ.J,,,,South Africa
136,YETU.TZ,,,,Tanzania
137,STANBIC.LG,,,,
138,VETIVA.LG,,,,
139,APL.MZ,,,,Mauritius
140,DCPJ.J,,,,
141,BWNJ.J,,,,South Africa
142,SYGJ.J,,,,South Africa
143,TRLJ.J,,,,South Africa
144,CTAJ.J,,,,South Africa
145,IIL.GH,,,,Ghana
146,NOTORE.LG,,,,
147,SSSJ.J,,,,South Africa
148,SAMBA.GH,,,,Ghana
149,HORDS.GH,,,,Ghana
150,MMH.GH,,,,Ghana
151,MHBJ.J,,,,South Africa
152,ATIL.MZ,,,,South Africa
153,LTEJ.J,,,,Malta
154,FAHR.NR,,,,Kenya
155,ETFRHOJ.J,,,,
156,SNHJ.J,,,,South Africa
157,GBFS.ZI,,,,Luxembourg
158,ABCB.MZ,,,,Mauritius
159,VETBANK.LG,,,,
160,VETGOODS.LG,,,,
161,VETINDETF.LG,,,,
162,NRLJ.J,,,,South Africa
163,TAD.MZ,,,,Mauritius
164,DCON.NR,,,,Kenya
165,FPC.BT,,,,Botswana
166,AXIA.ZI,,,,Zimbabwe
167,BIDJ.J,,,,South Africa
168,MUCOBA.TZ,,,,Tanzania
169,NBV.NR,,,,United Arab Emirates
170,NSBC.CI,,,,Ivory Coast
171,DSE.TZ,,,,Tanzania
172,IBLL.MZ,,,,Mauritius
173,EPEJ.J,,,,Mauritius
174,UPL.MZ,,,,Mauritius
175,YYLBEEJ.J,,,,South Africa
176,ACCESS.GH,,,,Nigeria
177,SCRC.CI,,,,Ivory Coast
178,SEAJ.J,,,,South Africa
179,SIBC.CI,,,,Morocco
180,GLPROPJ.J,,,,
181,CBIBF.CI,,,,Burkina Faso
182,TPFJ.J,,,,South Africa
183,VODA.TZ,,,,United Kingdom
184,CQCIL.UG,,,,India
185,L2DJ.J,,,,South Africa
186,TIP.LG,,,,Nigeria
187,DCCUSDJ.J,,,,
188,SHGJ.J,,,,South Africa
189,JAIZBANK.LG,,,,Nigeria
190,STXILBJ.J,,,,
191,STXPROJ.J,,,,
192,PFBJ.J,,,,South Africa
193,MTNGH.GH,,,,South Africa
194,MIN.BT,,,,Botswana
195,BAYP.MZ,,,,Mauritius
196,AILJ.J,,,,South Africa
197,KALJ.J,,,,South Africa
198,NRPJ.J,,,,Netherlands
199,RHBJ.J,,,,South Africa
200,HETJ.J,,,,South Africa
201,STXWDMJ.J,,,,
202,STXEMGJ.J,,,,
203,STX500J.J,,,,
204,FMP.ZI,,,,Zimbabwe
205,ZXSWS.ZX,,,,South Africa
206,ZXSWB.ZX,,,,South Africa
207,ZXTWI.ZX,,,,South Africa
208,FMBCH.MV,,,,Malawi
209,PPHJ.J,,,,South Africa
210,STXQUAJ.J,,,,
211,LHN.NM,,,,Botswana
212,4SIJ.J,,,,Mauritius
213,SDOJ.J,,,,South Africa
214,FNBEQFJ.J,,,,
215,PNH.NM,,,,Namibia
216,SYG500J.J,,,,
217,CCAF.LZ,,,,Zambia
218,DCCUS2J.J,,,,
219,ECOC.CI,,,,Togo
220,GSPECPLC.LG,,,,Nigeria
221,ARIN.MZ,,,,Indonesia
222,CVWJ.J,,,,
223,AYOJ.J,,,,South Africa
224,ZXTIP.ZX,,,,South Africa
225,ETF500J.J,,,,
226,FNBWGBJ.J,,,,
227,STXNDQJ.J,,,,
228,LBRJ.J,,,,South Africa
229,DIGICUT.GH,,,,Ghana
230,FTHJ.J,,,,South Africa
231,AEIBy.MZ,,,,Egypt
232,4ANWKH.4AX,,,,South Africa
233,4AHWP.4AX,,,,South Africa
234,4AASP.4AX,,,,South Africa
235,NFEMODJ.J,,,,
236,NFEHGEJ.J,,,,
237,NFEDEFJ.J,,,,
238,MTNN.LG,,,,South Africa
239,ETFBNDJ.J,,,,
240,NFNAMA.NM,,,,
241,STXGOVJ.J,,,,
242,STXESGJ.J,,,,
243,STXEMEJ.J,,,,
244,MERGROWTH.LG,,,,
245,MERVALUE.LG,,,,
246,SYGESGJ.J,,,,
247,MTNR.RW,,,,South Africa
248,SYGEMFJ.J,,,,
249,STXCAPJ.J,,,,
250,STXNDAJ.J,,,,
251,4AAVC.4AX,,,,South Africa
252,STXHLTJ.J,,,,
253,ETFSRIJ.J,,,,
254,ETFEMAJ.J,,,,
255,BIND.VF,,,,United Kingdom
256,PHL.VF,,,,Zimbabwe
257,SYGSEJ.J,,,,
258,CSGOVIJ.J,,,,South Africa
259,SIM.VF,,,,Zimbabwe
260,NED.VF,,,,Zimbabwe
261,ZZDJ.J,,,,South Africa
262,NTFD.VF,,,,Zimbabwe
263,4AGFR1O.4AX,,,,South Africa
264,GEREGU.LG,,,,Nigeria
265,CAAJ.J,,,,South Africa
266,SREE.MZ,,,,Mauritius
267,ACCESSCORP.LG,,,,Nigeria
268,4ABKB.4AX,,,,South Africa
269,APOJ.J,,,,South Africa
270,TANG.ZI,,,,Zimbabwe
271,BUAFOODS.LG,,,,Nigeria
272,RONCHESS.LG,,,,Nigeria
273,VELG.MZ,,,,
274,ANIJ.J,,,,South Africa
275,MTNU.UG,,,,South Africa
276,MOC.NM,,,,Namibia
277,CTEL.MZ,,,,Mauritius
278,NGXGROUP.LG,,,,Nigeria
279,GTCO.LG,,,,Nigeria
280,TGAJ.J,,,,South Africa
281,SZKJ.J,,,,South Africa
282,BAPLC.LG,,,,Nigeria
283,HBE.NR,,,,Kenya
284,HPL.MZ,,,,Mauritius
285,DASPHARMA.GH,,,,Ghana
286,4AGR1O.4AX,,,,South Africa
287,CMR.RW,,,,South Africa
288,FDHB.MV,,,,Malawi
289,OMJ.NM,,,,Namibia
290,MQA.NM,,,,Namibia
291,SBPJ.J,,,,South Africa
292,NY1J.J,,,,South Africa
293,AIRTEL.MV,,,,India
294,SSWJ.J,,,,South Africa
295,4AIHG.4AX,,,,
296,ZFCO.LZ,,,,Zambia
297,ZXRPG.ZX,,,,South Africa
298,BUACEMENT.LG,,,,Nigeria
299,MTNZFJ.J,,,,South Africa
300,SNO.NM,,,,South Africa
301,FRBP01p.J^K22,,,,South Africa
302,SEMA.MZ,,,,Mauritius
303,ANE.NM,,,,Namibia
304,JATU.TZ,,,,Tanzania
305,SSUJ.J,,,,South Africa
306,ACES.MZ,,,,Mauritius
307,ORGT.CI,,,,Togo
308,REGI.MZ,,,,Mauritius
309,ENLG.MZ,,,,
310,ICON.MV,,,,Malawi
311,LAVA.MZ,,,,
312,ACCESS.BT,,,,Nigeria
313,MTHJ.J,,,,South Africa
314,EHZL.ZI,,,,Zimbabwe
315,MCGJ.J,,,,South Africa
316,SCIL.BT,,,,Botswana
317,NICO.TZ,,,,Tanzania
318,EXPJ.J,,,,South Africa
319,DGHJ.J,,,,South Africa
320,TICL.TZ,,,,Tanzania
321,KLOS.MZ,,,,Mauritius
322,TSAH.MZ,,,,Mauritius
323,ABL.GH,0.0,1998-11-28T00:00:00Z,5043415975,Belgium
324,ABL.GH,,,,
325,ABOSELA.LG,,,,Nigeria
326,ABPLAST.LG,,,,Nigeria
327,ABSPp.J,,,,South Africa
328,ACADEMY.LG,,,,Nigeria
329,ACLJ.J,37.56,1998-06-30T00:00:00Z,5000854298,Luxembourg
330,ACLJ.J,0.21,1998-12-31T00:00:00Z,,
331,ACLJ.J,0.1526,1998-12-31T00:00:00Z,4296293277,
332,ACLJ.J,0.12,1998-12-31T00:00:00Z,5000152801,
333,ACLJ.J,0.0022,1998-12-31T00:00:00Z,,
334,ACLJ.J,0.001,1998-12-31T00:00:00Z,4298409344,
335,ACLJ.J,0.0004,1998-12-31T00:00:00Z,,
336,ACLJ.J,0.0003,1998-06-30T00:00:00Z,,
337,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
338,ACLJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
339,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
340,ACLJ.J,0.0,1998-12-31T00:00:00Z,5000052202,
341,ACLJ.J,,,,
342,ACLJ.J,15.6,1997-01-31T00:00:00Z,5001449709,
