,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
0,SMBC.CI,,,,,,Ivory Coast,
1,SACL.ZI,,,,,,Zimbabwe,
2,SEMC.CI,,,,,,United States,
3,ILV.MV,,,,,,United Kingdom,
4,NITL.MV,,,,,,Malawi,
5,TPCC.TZ,,,,,,Germany,
6,ZBFH.ZI,,,,,,Zimbabwe,
7,TTP.TZ,,,,,,Tanzania,
8,TCCL.TZ,,,,,,,
9,FMB.MV,,,,,,Malawi,
10,NBS.MV,,,,,,Malawi,
11,SUNB.MV,,,,,,Malawi,
12,MPICO.MV,,,,,,Malawi,
13,DCB.TZ,,,,,,Tanzania,
14,NMB.TZ,,,,,,Tanzania,
15,COURTVI.LG,,,,,,Nigeria,
16,CRDB.TZ,,,,,,Tanzania,
17,NANG.LZ,,,,,,United Kingdom,
18,PRIM.LZ,,,,,,Zambia,
19,MCNICHO.LG,,,,,,Nigeria,
20,NIC.UG,,,,,,Uganda,
21,BATZ.LZ,0.17,2000-12-31T00:00:00Z,2006494,113,5000706029,United Kingdom,
22,BATZ.LZ,0.0,1999-06-30T00:00:00Z,2005726,107,5001449043,,Emerg. Mkts.
23,BATZ.LZ,0.17,1999-06-30T00:00:00Z,2006494,107,5000706029,,
24,BATZ.LZ,0.0,1999-06-30T00:00:00Z,2005726,107,5001449043,,Emerg. Mkts.
25,BATZ.LZ,,,,107,,,
26,BATZ.LZ,,,,113,,,Core Value
27,BATZ.LZ,,,,107,,,
28,BATZ.LZ,,,,107,,,
29,BOAC.CI,,,,,,Morocco,
30,RACPp.J,,,,,,South Africa,
31,LHCJ.J,,,,,,South Africa,
32,TNM.MV,,,,,,Malawi,
33,CRESTA.BT,,,,,,Botswana,
34,UHOMREI.LG,,,,,,Nigeria,
35,DANGCEM.LG,,,,,,Nigeria,
36,MULTITREX.LG,,,,,,Nigeria,
37,RBPJ.J,,,,,,South Africa,
38,NPFMCRF.LG,,,,,,Nigeria,
39,BOABF.CI,,,,,,Morocco,
40,MMPJ.J,,,,,,South Africa,
41,OUTJ.J,,,,,,South Africa,
42,IPFJ.J,,,,,,South Africa,
43,LBTY.NR,,,,,,South Africa,
44,REBJ.J,,,,,,South Africa,
45,COHJ.J,,,,,,South Africa,
46,LETL.BT,,,,,,Botswana,
47,GOLI.MZ,,,,,,Mauritius,
48,BLR.RW,,,,,,Netherlands,
49,MPTJ.J,,,,,,South Africa,
50,TCL.NR,,,,,,Kenya,
51,BUCJ.J,,,,,,South Africa,
52,TEXJ.J,,,,,,South Africa,
53,DIBJ.J,,,,,,South Africa,
54,BOK.RW,,,,,,Rwanda,
55,BRIT.NR,,,,,,Kenya,
56,NAP.BT,,,,,,Botswana,
57,FTAJ.J,,,,,,South Africa,
58,SILPp.NM,,,,,,Namibia,
59,PAL.TZ,,,,,,Tanzania,
60,TERA.MZ,,,,,,Mauritius,
61,CHOPP.BT,,,,,,Botswana,
62,AUSTINLAZ.LG,,,,,,Nigeria,
63,SIT.MZ,,,,,,Mauritius,
64,LKL.NR,,,,,,Kenya,
65,TCPJ.J,,,,,,South Africa,
66,CIC.NR,,,,,,United Kingdom,
67,FNBMIDJ.J,,,,,,,
68,CIM.MZ,,,,,,,
69,DLTJ.J,,,,,,South Africa,
70,NHL.NM,,,,,,Namibia,
71,UMEME.UG,,,,,,Uganda,
72,MDIJ.J,,,,,,South Africa,
73,UCAP.LG,,,,,,Nigeria,
74,AFRIPRU.LG,,,,,,Nigeria,
75,AGR.NM,,,,,,Namibia,
76,ETFSAPJ.J,,,,,,,
77,SHUMBA.BT,,,,,,Botswana,
78,NGPLTJ.J,,,,,,,
79,MLIJ.J,,,,,,United Kingdom,
80,CGP.NM,,,,,,Namibia,
81,HAFR.NR,,,,,,Kenya,
82,ATTJ.J,,,,,,South Africa,
83,ASCJ.J,,,,,,South Africa,
84,APFJ.J,,,,,,South Africa,
85,CWG.LG,,,,,,Nigeria,
86,UCHUMI.UG,,,,,,Kenya,
87,ETFPLDJ.J,,,,,,,
88,NGPLDJ.J,,,,,,,
89,SARJ.J,,,,,,South Africa,
90,ETFPLTJ.J,,,,,,,
91,ETFGLDJ.J,,,,,,,
92,THAJ.J,,,,,,Cyprus,
93,LVLTRXJ.J^H18,,,,,,,
94,DIVTRXJ.J,,,,,,,
95,AVLJ.J,,,,,,South Africa,
96,LOTO.MZ,,,,,,Mauritius,
97,CAVERTON.LG,,,,,,Nigeria,
98,VISJ.J,,,,,,South Africa,
99,MBP.TZ,,,,,,Tanzania,
100,SARE.MZ,,,,,,South Africa,
101,KSTJ.J,,,,,,South Africa,
102,EQUJ.J,,,,,,South Africa,
103,AFHJ.J,,,,,,United States,
104,MAFS.LZ,,,,,,Zambia,
105,NSE.NR,,,,,,Kenya,
106,SWALA.TZ,,,,,,Tanzania,
107,BTCL.BT,,,,,,Botswana,
108,RFGJ.J,,,,,,South Africa,
109,TRANSCOHOT.LG,,,,,,Nigeria,
110,QFHJ.J,,,,,,South Africa,
111,NOV.MZ,,,,,,Mauritius,
112,LIVINGTRUST.LG,,,,,,Nigeria,
113,TTLS.CI,,,,,,France,
114,FTGH.NR,,,,,,Kenya,
115,KCCGLDJ.J,,,,,,,
116,KUR.NR,,,,,,Kenya,
117,MEDVIEWAIR.LG,,,,,,Nigeria,
118,DNBJ.J,,,,,,South Africa,
119,HILJ.J,,,,,,Malta,
120,ACSJ.J,,,,,,South Africa,
121,IMRP7p.J,,,,,,South Africa,
122,BOAS.CI,,,,,,Morocco,
123,NVSJ.J,,,,,,South Africa,
124,MFDG.MZ,,,,,,Mauritius,
125,MKCB.TZ,,,,,,Tanzania,
126,MAC.GH,,,,,,Ghana,
127,IMR.RW,,,,,,Kenya,
128,MCB.TZ,,,,,,Tanzania,
129,INFINITY.LG,,,,,,Nigeria,
130,VALUEFUND.LG,,,,,,Nigeria,
131,UPDCREIT.LG,,,,,,Nigeria,
132,ADB.GH,,,,,,Ghana,
133,BOAM.CI,,,,,,Morocco,
134,CTOP50J.J,,,,,,,
135,IKUL.LZ,,,,,,Zambia,
136,EIZP.LZ,,,,,,Zambia,
137,ILUJ.J,,,,,,South Africa,
138,PROL.ZI,,,,,,Zimbabwe,
139,RENJ.J,,,,,,South Africa,
140,PEMJ.J,,,,,,South Africa,
141,YETU.TZ,,,,,,Tanzania,
142,STANBIC.LG,,,,,,,
143,VETIVA.LG,,,,,,,
144,APL.MZ,,,,,,Mauritius,
145,DCPJ.J,,,,,,,
146,BWNJ.J,,,,,,South Africa,
147,SYGJ.J,,,,,,South Africa,
148,TRLJ.J,,,,,,South Africa,
149,CTAJ.J,,,,,,South Africa,
150,IIL.GH,,,,,,Ghana,
151,NOTORE.LG,,,,,,,
152,SSSJ.J,,,,,,South Africa,
153,SAMBA.GH,,,,,,Ghana,
154,HORDS.GH,,,,,,Ghana,
155,MMH.GH,,,,,,Ghana,
156,MHBJ.J,,,,,,South Africa,
157,ATIL.MZ,,,,,,South Africa,
158,LTEJ.J,,,,,,Malta,
159,FAHR.NR,,,,,,Kenya,
160,ETFRHOJ.J,,,,,,,
161,SNHJ.J,,,,113,,South Africa,
162,SNHJ.J,,,,,,,
163,GBFS.ZI,,,,,,Luxembourg,
164,ABCB.MZ,,,,,,Mauritius,
165,VETBANK.LG,,,,,,,
166,VETGOODS.LG,,,,,,,
167,VETINDETF.LG,,,,,,,
168,NRLJ.J,,,,,,South Africa,
169,TAD.MZ,,,,,,Mauritius,
170,DCON.NR,,,,,,Kenya,
171,FPC.BT,,,,,,Botswana,
172,AXIA.ZI,,,,,,Zimbabwe,
173,BIDJ.J,,,,,,South Africa,
174,MUCOBA.TZ,,,,,,Tanzania,
175,NBV.NR,,,,,,United Arab Emirates,
176,NSBC.CI,,,,,,Ivory Coast,
177,DSE.TZ,,,,,,Tanzania,
178,IBLL.MZ,,,,,,Mauritius,
179,EPEJ.J,,,,,,Mauritius,
180,UPL.MZ,,,,,,Mauritius,
181,YYLBEEJ.J,,,,,,South Africa,
182,ACCESS.GH,,,,,,Nigeria,
183,SCRC.CI,,,,,,Ivory Coast,
184,SEAJ.J,,,,,,South Africa,
185,SIBC.CI,,,,,,Morocco,
186,GLPROPJ.J,,,,,,,
187,CBIBF.CI,,,,,,Burkina Faso,
188,TPFJ.J,,,,,,South Africa,
189,VODA.TZ,,,,,,United Kingdom,
190,CQCIL.UG,,,,,,India,
191,L2DJ.J,,,,,,South Africa,
192,TIP.LG,,,,,,Nigeria,
193,DCCUSDJ.J,,,,,,,
194,SHGJ.J,,,,,,South Africa,
195,JAIZBANK.LG,,,,,,Nigeria,
196,STXILBJ.J,,,,,,,
197,STXPROJ.J,,,,,,,
198,PFBJ.J,,,,,,South Africa,
199,MTNGH.GH,,,,,,South Africa,
200,MIN.BT,,,,,,Botswana,
201,BAYP.MZ,,,,,,Mauritius,
202,AILJ.J,,,,,,South Africa,
203,KALJ.J,,,,,,South Africa,
204,NRPJ.J,,,,,,Netherlands,
205,RHBJ.J,,,,,,South Africa,
206,HETJ.J,,,,,,South Africa,
207,STXWDMJ.J,,,,,,,
208,STXEMGJ.J,,,,,,,
209,STX500J.J,,,,,,,
210,FMP.ZI,,,,,,Zimbabwe,
211,ZXSWS.ZX,,,,,,South Africa,
212,ZXSWB.ZX,,,,,,South Africa,
213,ZXTWI.ZX,,,,,,South Africa,
214,FMBCH.MV,,,,,,Malawi,
215,PPHJ.J,,,,,,South Africa,
216,STXQUAJ.J,,,,,,,
217,LHN.NM,,,,,,Botswana,
218,4SIJ.J,,,,,,Mauritius,
219,SDOJ.J,,,,,,South Africa,
220,FNBEQFJ.J,,,,,,,
221,PNH.NM,,,,,,Namibia,
222,SYG500J.J,,,,,,,
223,CCAF.LZ,,,,,,Zambia,
224,DCCUS2J.J,,,,,,,
225,ECOC.CI,,,,,,Togo,
226,GSPECPLC.LG,,,,,,Nigeria,
227,ARIN.MZ,,,,,,Indonesia,
228,CVWJ.J,,,,,,,
229,AYOJ.J,,,,,,South Africa,
230,ZXTIP.ZX,,,,,,South Africa,
231,ETF500J.J,,,,,,,
232,FNBWGBJ.J,,,,,,,
233,STXNDQJ.J,,,,,,,
234,LBRJ.J,,,,,,South Africa,
235,DIGICUT.GH,,,,,,Ghana,
236,FTHJ.J,,,,,,South Africa,
237,AEIBy.MZ,,,,,,Egypt,
238,4ANWKH.4AX,,,,,,South Africa,
239,4AHWP.4AX,,,,,,South Africa,
240,4AASP.4AX,,,,,,South Africa,
241,NFEMODJ.J,,,,,,,
242,NFEHGEJ.J,,,,,,,
243,NFEDEFJ.J,,,,,,,
244,MTNN.LG,,,,,,South Africa,
245,ETFBNDJ.J,,,,,,,
246,NFNAMA.NM,,,,,,,
247,STXGOVJ.J,,,,,,,
248,STXESGJ.J,,,,,,,
249,STXEMEJ.J,,,,,,,
250,MERGROWTH.LG,,,,,,,
251,MERVALUE.LG,,,,,,,
252,SYGESGJ.J,,,,,,,
253,MTNR.RW,,,,,,South Africa,
254,SYGEMFJ.J,,,,,,,
255,STXCAPJ.J,,,,,,,
256,STXNDAJ.J,,,,,,,
257,4AAVC.4AX,,,,,,South Africa,
258,STXHLTJ.J,,,,,,,
259,ETFSRIJ.J,,,,,,,
260,ETFEMAJ.J,,,,,,,
261,BIND.VF,,,,,,United Kingdom,
262,PHL.VF,,,,,,Zimbabwe,
263,SYGSEJ.J,,,,,,,
264,CSGOVIJ.J,,,,,,South Africa,
265,SIM.VF,,,,,,Zimbabwe,
266,NED.VF,,,,,,Zimbabwe,
267,ZZDJ.J,,,,,,South Africa,
268,NTFD.VF,,,,,,Zimbabwe,
269,4AGFR1O.4AX,,,,,,South Africa,
270,GEREGU.LG,,,,,,Nigeria,
271,CAAJ.J,,,,,,South Africa,
272,SREE.MZ,,,,,,Mauritius,
273,ACCESSCORP.LG,,,,,,Nigeria,
274,4ABKB.4AX,,,,,,South Africa,
275,APOJ.J,,,,,,South Africa,
276,TANG.ZI,,,,,,Zimbabwe,
277,BUAFOODS.LG,,,,,,Nigeria,
278,RONCHESS.LG,,,,,,Nigeria,
279,VELG.MZ,,,,,,,
280,ANIJ.J,,,,,,South Africa,
281,MTNU.UG,,,,,,South Africa,
282,MOC.NM,,,,,,Namibia,
283,CTEL.MZ,,,,,,Mauritius,
284,NGXGROUP.LG,,,,,,Nigeria,
285,GTCO.LG,,,,,,Nigeria,
286,TGAJ.J,,,,,,South Africa,
287,SZKJ.J,,,,,,South Africa,
288,BAPLC.LG,,,,,,Nigeria,
289,HBE.NR,,,,,,Kenya,
290,HPL.MZ,,,,,,Mauritius,
291,DASPHARMA.GH,,,,,,Ghana,
292,4AGR1O.4AX,,,,,,South Africa,
293,CMR.RW,,,,,,South Africa,
294,FDHB.MV,,,,,,Malawi,
295,OMJ.NM,,,,,,Namibia,
296,MQA.NM,,,,,,Namibia,
297,SBPJ.J,,,,,,South Africa,
298,NY1J.J,,,,,,South Africa,
299,AIRTEL.MV,,,,,,India,
300,SSWJ.J,,,,,,South Africa,
301,4AIHG.4AX,,,,,,,
