		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	Own Home	Own Home	Own Home	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																						
chinaInvestor	chinaInvestor	-0.395***	-0.0645	-0.0541	-0.395***	-0.0645	-0.0541	-0.437***	-0.107	-0.0527	-0.437***	-0.107	-0.0527	-0.437***	-0.107	-0.0527	-0.437***	-0.107	-0.0527	-0.337**	-0.177	-0.0288
		(0.136)	(0.126)	(0.0535)	(0.136)	(0.126)	(0.0535)	(0.135)	(0.124)	(0.0505)	(0.135)	(0.124)	(0.0505)	(0.135)	(0.124)	(0.0505)	(0.135)	(0.124)	(0.0505)	(0.146)	(0.134)	(0.0541)
westernInvestor	westernInvestor	0.156***	0.106***	-0.00544	0.156***	0.106***	-0.00544	0.151***	0.108***	-0.00350	0.151***	0.108***	-0.00350	0.151***	0.108***	-0.00350	0.151***	0.108***	-0.00350	0.200***	0.139***	-0.00962
		(0.0232)	(0.0215)	(0.00901)	(0.0232)	(0.0215)	(0.00901)	(0.0229)	(0.0210)	(0.00849)	(0.0229)	(0.0210)	(0.00849)	(0.0229)	(0.0210)	(0.00849)	(0.0229)	(0.0210)	(0.00849)	(0.0226)	(0.0208)	(0.00833)
africanInvestor	africanInvestor	-0.620***	-0.551***	-0.0466***	-0.620***	-0.551***	-0.0466***	-0.599***	-0.526***	-0.0430***	-0.599***	-0.526***	-0.0430***	-0.599***	-0.526***	-0.0430***	-0.599***	-0.526***	-0.0430***	-0.502***	-0.458***	-0.0481***
		(0.0229)	(0.0212)	(0.00894)	(0.0229)	(0.0212)	(0.00894)	(0.0226)	(0.0208)	(0.00843)	(0.0226)	(0.0208)	(0.00843)	(0.0226)	(0.0208)	(0.00843)	(0.0226)	(0.0208)	(0.00843)	(0.0224)	(0.0206)	(0.00826)
102.investortypedescriptionid	Investor Type Description ID = 102	1.544	2.293**	0.692	1.544	2.293**	0.692	1.654	2.502**	0.734*	1.654	2.502**	0.734*	1.654	2.502**	0.734*	1.654	2.502**	0.734*	1.289*	1.543**	0.241
		(1.144)	(1.059)	(0.435)	(1.144)	(1.059)	(0.435)	(1.128)	(1.035)	(0.412)	(1.128)	(1.035)	(0.412)	(1.128)	(1.035)	(0.412)	(1.128)	(1.035)	(0.412)	(0.720)	(0.661)	(0.261)
104.investortypedescriptionid	Investor Type Description ID = 104	-0.0162	0.173	-0.0660	-0.0162	0.173	-0.0660	0.0126	0.219	-0.0667	0.0126	0.219	-0.0667	0.0126	0.219	-0.0667	0.0126	0.219	-0.0667	-0.00188	0.202	-0.0624
		(0.248)	(0.230)	(0.0945)	(0.248)	(0.230)	(0.0945)	(0.245)	(0.225)	(0.0894)	(0.245)	(0.225)	(0.0894)	(0.245)	(0.225)	(0.0894)	(0.245)	(0.225)	(0.0894)	(0.246)	(0.226)	(0.0882)
106.investortypedescriptionid	Investor Type Description ID = 106	-0.604***	-0.541***	-0.0257	-0.604***	-0.541***	-0.0257	-0.596***	-0.530***	-0.0246*	-0.596***	-0.530***	-0.0246*	-0.596***	-0.530***	-0.0246*	-0.596***	-0.530***	-0.0246*	-0.602***	-0.537***	-0.0263*
		(0.0410)	(0.0379)	(0.0157)	(0.0410)	(0.0379)	(0.0157)	(0.0404)	(0.0371)	(0.0148)	(0.0404)	(0.0371)	(0.0148)	(0.0404)	(0.0371)	(0.0148)	(0.0404)	(0.0371)	(0.0148)	(0.0409)	(0.0375)	(0.0147)
107.investortypedescriptionid	Investor Type Description ID = 107	-0.251***	-0.232***	-0.0165	-0.251***	-0.232***	-0.0165	-0.240***	-0.221***	-0.0138	-0.240***	-0.221***	-0.0138	-0.240***	-0.221***	-0.0138	-0.240***	-0.221***	-0.0138	-0.245***	-0.227***	-0.0146
		(0.0286)	(0.0265)	(0.0109)	(0.0286)	(0.0265)	(0.0109)	(0.0283)	(0.0260)	(0.0103)	(0.0283)	(0.0260)	(0.0103)	(0.0283)	(0.0260)	(0.0103)	(0.0283)	(0.0260)	(0.0103)	(0.0285)	(0.0262)	(0.0102)
