		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																			
chinaInvestor	chinaInvestor	-1.887	-0.482	0.181	-1.812	0.0109	0.213	-1.815	0.0255	0.211	-1.815	0.0255	0.211	-1.815	0.0255	0.211	-3.896*	-3.610	0.384
		(2.143)	(2.102)	(1.532)	(1.562)	(1.493)	(1.140)	(1.561)	(1.493)	(1.141)	(1.561)	(1.493)	(1.141)	(1.561)	(1.493)	(1.141)	(2.352)	(2.304)	(1.672)
USinvestor	USinvestor	0.268**	0.187*	0.0378	0.400***	0.330***	0.0801	0.402***	0.334***	0.0803	0.402***	0.334***	0.0803	0.402***	0.334***	0.0803	0.263**	0.180*	0.0319
		(0.107)	(0.105)	(0.0755)	(0.0779)	(0.0744)	(0.0561)	(0.0780)	(0.0746)	(0.0562)	(0.0780)	(0.0746)	(0.0562)	(0.0780)	(0.0746)	(0.0562)	(0.108)	(0.105)	(0.0757)
africanInvestor	africanInvestor	-0.560***	-0.639***	-0.221***	-0.293***	-0.318***	-0.271***	-0.297***	-0.321***	-0.271***	-0.297***	-0.321***	-0.271***	-0.297***	-0.321***	-0.271***	-0.569***	-0.657***	-0.219***
		(0.0869)	(0.0858)	(0.0627)	(0.0633)	(0.0608)	(0.0467)	(0.0633)	(0.0609)	(0.0467)	(0.0633)	(0.0609)	(0.0467)	(0.0633)	(0.0609)	(0.0467)	(0.0873)	(0.0862)	(0.0630)
102.investortypedescriptionid	Investor Type Description ID = 102	-2.978	-2.059	-0.263	-2.415	-1.258	-0.418	-2.386	-1.252	-0.415	-2.386	-1.252	-0.415	-2.386	-1.252	-0.415	-3.131	-2.180	-0.291
		(9.176)	(8.987)	(6.430)	(6.671)	(6.366)	(4.777)	(6.668)	(6.368)	(4.781)	(6.668)	(6.368)	(4.781)	(6.668)	(6.368)	(4.781)	(9.204)	(9.013)	(6.453)
