		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																			
chinaInvestor	chinaInvestor	-2.113	-0.725	-0.154	-1.959	-0.151	-0.0671	-1.963	-0.133	-0.0695	-1.963	-0.133	-0.0695	-1.963	-0.133	-0.0695	-4.121*	-3.858*	0.0476
		(2.154)	(2.113)	(1.540)	(1.570)	(1.500)	(1.146)	(1.569)	(1.501)	(1.147)	(1.569)	(1.501)	(1.147)	(1.569)	(1.501)	(1.147)	(2.362)	(2.314)	(1.679)
westernInvestor	westernInvestor	-0.152	-0.196	-0.346**	-0.0246	-0.0616	-0.276**	-0.0250	-0.0561	-0.276**	-0.0250	-0.0561	-0.276**	-0.0250	-0.0561	-0.276**	-0.154	-0.205	-0.352**
		(0.235)	(0.230)	(0.165)	(0.171)	(0.163)	(0.123)	(0.171)	(0.163)	(0.123)	(0.171)	(0.163)	(0.123)	(0.171)	(0.163)	(0.123)	(0.236)	(0.231)	(0.166)
africanInvestor	africanInvestor	-0.806***	-0.896***	-0.564***	-0.469***	-0.504***	-0.563***	-0.474***	-0.502***	-0.564***	-0.474***	-0.502***	-0.564***	-0.474***	-0.502***	-0.564***	-0.815***	-0.920***	-0.565***
		(0.235)	(0.231)	(0.166)	(0.171)	(0.163)	(0.123)	(0.171)	(0.164)	(0.123)	(0.171)	(0.164)	(0.123)	(0.171)	(0.164)	(0.123)	(0.236)	(0.231)	(0.166)
102.investortypedescriptionid	Investor Type Description ID = 102	-3.059	-2.097	-0.251	-2.545	-1.342	-0.421	-2.517	-1.338	-0.418	-2.517	-1.338	-0.418	-2.517	-1.338	-0.418	-3.210	-2.216	-0.277
		(9.176)	(8.987)	(6.430)	(6.672)	(6.366)	(4.777)	(6.668)	(6.369)	(4.781)	(6.668)	(6.369)	(4.781)	(6.668)	(6.369)	(4.781)	(9.204)	(9.013)	(6.453)
