		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	LABELS	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																			
chinaInvestor	chinaInvestor	-0.577***	-0.204	-0.0540	-0.610***	-0.246**	-0.0536	-0.610***	-0.246**	-0.0536	-0.610***	-0.246**	-0.0536	-0.610***	-0.246**	-0.0536	-0.540***	-0.332**	-0.0237
		(0.135)	(0.125)	(0.0528)	(0.133)	(0.122)	(0.0499)	(0.133)	(0.122)	(0.0499)	(0.133)	(0.122)	(0.0499)	(0.133)	(0.122)	(0.0499)	(0.145)	(0.133)	(0.0536)
USinvestor	USinvestor	-0.109***	-0.117***	-0.0142***	-0.0935***	-0.109***	-0.0120***	-0.0935***	-0.109***	-0.0120***	-0.0935***	-0.109***	-0.0120***	-0.0935***	-0.109***	-0.0120***	-0.0497***	-0.0763***	-0.0116***
		(0.0114)	(0.0106)	(0.00439)	(0.0113)	(0.0103)	(0.00414)	(0.0113)	(0.0103)	(0.00414)	(0.0113)	(0.0103)	(0.00414)	(0.0113)	(0.0103)	(0.00414)	(0.0113)	(0.0104)	(0.00409)
africanInvestor	africanInvestor	-0.806***	-0.694***	-0.0471***	-0.774***	-0.668***	-0.0444***	-0.774***	-0.668***	-0.0444***	-0.774***	-0.668***	-0.0444***	-0.774***	-0.668***	-0.0444***	-0.706***	-0.615***	-0.0436***
		(0.00880)	(0.00821)	(0.00351)	(0.00865)	(0.00800)	(0.00331)	(0.00865)	(0.00800)	(0.00331)	(0.00865)	(0.00800)	(0.00331)	(0.00865)	(0.00800)	(0.00331)	(0.00867)	(0.00803)	(0.00326)
102.investortypedescriptionid	Investor Type Description ID = 102	1.518	2.267**	0.688	1.633	2.478**	0.731*	1.633	2.478**	0.731*	1.633	2.478**	0.731*	1.633	2.478**	0.731*	1.287*	1.537**	0.239
		(1.144)	(1.059)	(0.435)	(1.128)	(1.035)	(0.411)	(1.128)	(1.035)	(0.411)	(1.128)	(1.035)	(0.411)	(1.128)	(1.035)	(0.411)	(0.720)	(0.661)	(0.261)
