		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)
VARIABLES	LABELS	3	5	5	5	5	5	5	7	7	7	7	7	7	10	10	10	10	10	10	12	12	12	12	12	12	15	15	15	15	15	15
																																
companymarketcapitalization	(mean) companymarketcapitalization	0**						0**						0**						0*						0						-0
		(0)						(0)						(0)						(0)						(0)						(0)
pedailytimeseriesratio	(mean) pedailytimeseriesratio		-9.74e-06						-4.33e-06						-6.49e-07						-9.65e-07						-2.39e-06					
			(6.03e-06)						(5.21e-06)						(2.98e-06)						(2.39e-06)						(2.25e-06)					
earningspersharemean	(mean) earningspersharemean			0.000258						0.000546						-0.000688						0.00123						-0.000399				
				(0.000845)						(0.000868)						(0.000979)						(0.00123)						(0.00116)				
lnnetincomeaftertax	lnnetincomeaftertax				0.00972						0.00765						0.00565						0.000736						0.000740			
					(0.00692)						(0.00624)						(0.00558)						(0.00520)						(0.00506)			
lnRev	(mean) lnRev					0.00267						0.000569						0.00360						-0.00134						-0.00322		
						(0.00851)						(0.00733)						(0.00628)						(0.00552)						(0.00515)		
priceclose	(mean) priceclose						0						0						0						0						0	
							(0)						(0)						(0)						(0)						(0)	
Constant	Constant	0.265***	0.239***	0.319***	0.0645	0.172	0.215***	0.215***	0.192***	0.255***	0.0554	0.171	0.176***	0.178***	0.158***	0.206***	0.0560	0.0833	0.146***	0.148***	0.139***	0.179***	0.121	0.159	0.129***	0.133***	0.121***	0.153***	0.103	0.176*	0.112***	0.119***
		(0.00531)	(0.000248)	(0.000536)	(0.116)	(0.161)	(0.000174)	(0.00335)	(0.000214)	(0.000551)	(0.105)	(0.138)	(0.000175)	(0.00183)	(0.000122)	(0.000622)	(0.0939)	(0.119)	(0.000175)	(0.00225)	(9.82e-05)	(0.000781)	(0.0874)	(0.104)	(8.38e-05)	(0.00251)	(9.23e-05)	(0.000739)	(0.0852)	(0.0972)	(8.38e-05)	(0.00157)
																																
Observations		6,119	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120	4,819	2,763	5,119	6,147	6,510	6,120
R-squared		0.556	0.571	0.590	0.556	0.543	0.531	0.540	0.575	0.577	0.556	0.543	0.530	0.539	0.583	0.578	0.557	0.542	0.531	0.542	0.578	0.568	0.551	0.537	0.525	0.540	0.572	0.537	0.547	0.531	0.519	0.535
Robust standard errors in parentheses																																
*** p<0.01, ** p<0.05, * p<0.1																																
